record_id,accession_id,crop_group,storage_method,storage_room,lab_batch,regeneration_cycle,evaluation_year,storage_duration_months,contamination_load_pct,cold_room_temperature_c,subculture_count,viability_pct,tray_position_number,viability_loss_pct
GBR-0069,ACC-SYN-00069,potato,cryogenic,ROOM-4,BATCH-2025-06,2,2026,94.2,6.82,-19.62,11,81.72,520,18.28
GBR-0126,ACC-SYN-00126,potato,cryogenic,ROOM-1,BATCH-2024-07,3,2025,56.5,0,-19.67,6,91.5,656,8.5
GBR-0061,ACC-SYN-00061,sweetpotato,in-vitro,ROOM-2,BATCH-2025-06,2,2026,68.0,0.27,3.41,10,83.94,294,16.06
GBR-0002,ACC-SYN-00002,andean-root,in-vitro,ROOM-3,BATCH-2024-03,3,2025,31.1,11.94,8.37,11,76.08,266,23.92
GBR-0113,ACC-SYN-00113,andean-root,in-vitro,ROOM-6,BATCH-2025-02,2,2026,80.9,9.8,8.27,8,71.74,800,28.26
GBR-0099,ACC-SYN-00099,potato,cryogenic,ROOM-4,BATCH-2025-04,4,2026,88.4,0,-19.74,5,94.38,343,5.62
GBR-0162,ACC-SYN-00162,potato,cryogenic,ROOM-1,BATCH-2024-03,3,2025,44.9,5.61,-20.17,10,93.07,156,6.93
GBR-0225,ACC-SYN-00225,potato,cryogenic,ROOM-4,BATCH-2025-02,2,2026,56.7,1.75,-19.96,11,95.64,371,4.36
GBR-0086,ACC-SYN-00086,andean-root,in-vitro,ROOM-3,BATCH-2024-07,3,2025,97.7,7.94,7.47,6,73.9,877,26.1
GBR-0121,ACC-SYN-00121,sweetpotato,in-vitro,ROOM-2,BATCH-2025-02,2,2026,52.3,7.41,3.4,5,80.82,550,19.18
GBR-0059,ACC-SYN-00059,ARTC,in-vitro,ROOM-6,BATCH-2025-04,4,2026,129.6,6.89,6.26,7,73.64,310,26.36
GBR-0194,ACC-SYN-00194,andean-root,in-vitro,ROOM-3,BATCH-2024-03,3,2025,62.7,11.0,8.2,12,73.25,701,26.75
GBR-0128,ACC-SYN-00128,andean-root,in-vitro,ROOM-3,BATCH-2024-01,1,2025,118.6,9.41,7.81,10,67.46,272,32.54
GBR-0075,ACC-SYN-00075,potato,cryogenic,ROOM-4,BATCH-2025-04,4,2026,129.3,6.42,-19.59,2,84.45,188,15.55
GBR-0048,ACC-SYN-00048,potato,cryogenic,ROOM-1,BATCH-2024-01,1,2025,21.0,5.24,-20.08,3,93.96,985,6.04
GBR-0001,ACC-SYN-00001,sweetpotato,in vitro,ROOM-2,BATCH-2025-02,2,2026,83.3,8.08,3.19,11,77.37,758,22.63
GBR-0068,ACC-SYN-00068,andean-root,in-vitro,ROOM-3,BATCH-2024-05,1,2025,48.1,6.12,9.05,12,83.75,158,16.25
GBR-0041,ACC-SYN-00041,andean-root,in-vitro,ROOM-6,BATCH-2025-02,2,2026,66.4,5.98,7.67,6,77.49,334,22.51
GBR-0222,ACC-SYN-00222,potato,,ROOM-1,BATCH-2024-07,3,2025,49.8,7.99,-20.42,,93.17,139,6.83
GBR-0094,ACC-SYN-00094,sweetpotato,in-vitro,ROOM-5,BATCH-2024-07,3,2025,74.0,10.29,4.27,5,81.14,174,18.86
GBR-0159,ACC-SYN-00159,potato,cryogenic,ROOM-4,BATCH-2025-08,4,2026,108.0,6.31,-20.86,11,79.61,221,20.39
GBR-0177,ACC-SYN-00177,potato,cryogenic,ROOM-4,BATCH-2025-02,2,2026,34.7,0.59,-3.4 F,7,100,412,0
GBR-0180,ACC-SYN-00180,potato,cryogenic,ROOM-1,BATCH-2024-05,1,2025,95.3,5.41,-4.0 F,8,81.78,472,18.22
GBR-0065,ACC-SYN-00065,andean-root,in-vitro,ROOM-6,,2,2026,68.1,,7.18,12,79.05,616,20.95
GBR-0037,ACC-SYN-00037,Sweetpotato,in-vitro,ROOM-2,BATCH-2025-06,2,2026,37.5,9.61,4.32,9,82.48,550,17.52
GBR-0014,ACC-SYN-00014,andean-root,in-vitro,ROOM-3,BATCH-2024-07,3,2025,12.9,10.26,6.79,8,79.38,859,20.62
GBR-0134,ACC-SYN-00134,andean-root,in-vitro,ROOM-3,BATCH-2024-07,3,2025,63.5,2.84,7.92,2,81.28,591,18.72
GBR-0109,ACC-SYN-00109,sweetpotato,in-vitro,ROOM-2,BATCH-2025-06,2,2026,37.6,8.86,4.04,2,83.27,269,16.73
GBR-0080,ACC-SYN-00080,andean-root,in-vitro,ROOM-3,BATCH-2024-01,1,2025,18.5,1.13,8.46,7,90.21,641,9.79
GBR-0170,ACC-SYN-00170,andean-root,in-vitro,ROOM-3,BATCH-2024-03,3,2025,55.8,11.11,8.31,10,76.55,269,23.45
GBR-0004,ACC-SYN-00004,sweetpotato,in-vitro,ROOM-5,BATCH-2024-05,1,2025,130.6,4.2,4.62,6,77.96,246,22.04
GBR-0174,ACC-SYN-00174,potato,,ROOM-1,BATCH-2024-07,3,2025,44.8,3.8,-20.41,7,87.8,691,12.2
GBR-0046,ACC-SYN-00046,sweetpotato,in-vitro,ROOM-5,BATCH-2024-07,3,2025,30.7,10.29,5.82,6,83.09,350,16.91
GBR-0018,ACC-SYN-00018,potato,cryogenic,ROOM-1,BATCH-2024-03,3,2025,66.1,4.11,-20.25,3,84.9,117,15.1
GBR-0005,ACC-SYN-00005,andean-root,in-vitro,ROOM-6,BATCH-2025-06,2,2026,83.3,11.13,8.61,8,66.69,712,33.31
GBR-0124,ACC-SYN-00124,sweetpotato,in-vitro,ROOM-5,BATCH-2024-05,1,2025,18.4,9.2,38.8 F,5,89.0,813,11.0
GBR-0083,ACC-SYN-00083,andean-root,in-vitro,ROOM-6,BATCH-2025-04,4,2026,128.1,6.57,7.53,3,73.02,345,26.98
GBR-0173,ACC-SYN-00173,andean-root,in-vitro,ROOM-6,BATCH-2025-06,2,2026,86.8,5.84,9.32,10,78.68,579,21.32
GBR-0158,ACC-SYN-00158,ARTC,in-vitro,ROOM-3,BATCH-2024-07,3,2025,113.1,9.39,8.84,8,69.35,891,30.65
GBR-0003,ACC-SYN-00003,potato,cryogenic,ROOM-4,BATCH-2025-04,4,2026,52.9,0,-19.72,9,96.72,919,3.28
GBR-0085,ACC-SYN-00085,sweetpotato,,ROOM-2,BATCH-2025-06,2,2026,43.3,9.84,4.2,11,77.02,178,22.98
GBR-0017,ACC-SYN-00017,andean-root,in vitro,ROOM-6,BATCH-2025-02,2,2026,124.4,6.46,7.44,8,72.65,403,27.35
GBR-0028,ACC-SYN-00028,sweetpotato,in-vitro,ROOM-5,BATCH-2024-05,1,2025,44.2,5.97,4.72,9,86.14,221,13.86
GBR-0114,ACC-SYN-00114,potato,cryogenic,ROOM-1,BATCH-2024-03,3,2025,83.3,4.66,-19.9,2,88.07,396,11.93
GBR-0081,ACC-SYN-00081,potato,cryogenic,ROOM-4,BATCH-2025-02,2,2026,78.0,0.3,-20.76,4,92.57,927,7.43
GBR-0188,ACC-SYN-00188,andean-root,in-vitro,ROOM-3,BATCH-2024-05,1,2025,101.4,10.66,7.81,9,67.94,429,32.06
GBR-0230,ACC-SYN-00230,andean-root,in-vitro,ROOM-3,,3,2025,12.1,6.16,7.79,1,83.89,413,16.11
GBR-0157,ACC-SYN-00157,sweetpotato,in-vitro,ROOM-2,BATCH-2025-06,2,2026,115.4,9.53,4.08,5,72.63,640,27.37
GBR-0131,ACC-SYN-00131,andean-root,in-vitro,ROOM-6,BATCH-2025-04,4,2026,85.6,8.23,8.51,4,76.62,477,23.38
GBR-0098,ACC-SYN-00098,andean-root,in-vitro,ROOM-3,BATCH-2024-03,3,2025,95.2,5.61,8.27,12,81.04,469,18.96
GBR-0231,ACC-SYN-00231,potato,cryogenic,ROOM-4,BATCH-2025-08,4,2026,130.4,9.87,-19.72,4,80.22,341,19.78
GBR-0176,ACC-SYN-00176,andean-root,in-vitro,ROOM-3,BATCH-2024-01,1,2025,31.8,9.57,8.28,4,84.72,522,15.28
GBR-0021,ACC-SYN-00021,potato,cryogenic,ROOM-4,BATCH-2025-06,2,2026,41.1,6.06,-19.81,9,95.33,700,4.67
GBR-0130,ACC-SYN-00130,sweetpotato,in-vitro,ROOM-5,BATCH-2024-03,3,2025,94.9,11.28,4.58,1,71.52,547,28.48
GBR-0088,ACC-SYN-00088,sweetpotato,in-vitro,ROOM-5,BATCH-2024-01,1,2025,56.3,8.48,3.09,1,85.47,997,14.53
GBR-0196,ACC-SYN-00196,sweetpotato,in-vitro,ROOM-5,BATCH-2024-05,1,2025,115.6,14.01,4.07,7,70.04,534,29.96
GBR-0040,ACC-SYN-00040,sweetpotato,in-vitro,ROOM-5,BATCH-2024-01,1,2025,22.7,9.54,3.61,10,85.54,396,14.46
GBR-0101,ACC-SYN-00101,andean-root,in-vitro,ROOM-6,BATCH-2025-06,2,2026,17.8,,6.99,10,77.23,445,22.77
GBR-0219,ACC-SYN-00219,potato,cryogenic,ROOM-4,BATCH-2025-04,4,2026,82.5,2.6,-19.13,12,89.23,531,10.77
GBR-0105,ACC-SYN-00105,potato,cryogenic,ROOM-4,BATCH-2025-02,2,2026,67.3,5.19,-19.95,7,86.07,675,13.93
GBR-0112,ACC-SYN-00112,sweetpotato,in-vitro,ROOM-5,BATCH-2024-01,1,2025,76.5,7.86,3.1,8,80.33,130,19.67
GBR-0181,ACC-SYN-00181,sweetpotato,in-vitro,ROOM-2,BATCH-2025-06,2,2026,126.5,8.74,3.77,9,69.36,758,30.64
GBR-0020,ACC-SYN-00020,andean-root,in-vitro,ROOM-3,BATCH-2024-05,1,2025,41.9,9.36,6.56,5,76.41,974,23.59
GBR-0025,ACC-SYN-00025,sweetpotato,in-vitro,ROOM-2,BATCH-2025-02,2,2026,68.3,4.67,3.27,8,82.35,541,17.65
GBR-0216,ACC-SYN-00216,potato,cryogenic,ROOM-1,BATCH-2024-01,1,2025,109.4,0.34,-20.67,12,90.78,400,9.22
GBR-0035,ACC-SYN-00035,andean-root,in-vitro,ROOM-6,BATCH-2025-04,4,2026,93.7,7.13,7.33,5,75.63,763,24.37
GBR-0143,ACC-SYN-00143,andean-root,in-vitro,ROOM-6,BATCH-2025-08,4,2026,38.4,4.53,7.41,12,82.94,257,17.06
GBR-0043,ACC-SYN-00043,sweetpotato,in-vitro,ROOM-2,BATCH-2025-04,4,2026,126.7,6.17,4.85,2,73.85,415,26.15
GBR-0076,ACC-SYN-00076,sweetpotato,in-vitro,ROOM-5,BATCH-2024-05,1,2025,129.9,9.3,4.36,,67.19,956,32.81
GBR-0082,ACC-SYN-00082,sweetpotato,in-vitro,ROOM-5,,3,2025,129.5,5.83,3.62,11,75.73,538,24.27
GBR-0029,ACC-SYN-00029,andean-root,in-vitro,ROOM-6,BATCH-2025-06,2,2026,116.3,6.52,7.58,1,66.06,802,33.94
GBR-0108,ACC-SYN-00108,potato,cryogenic,ROOM-1,BATCH-2024-05,1,2025,30.5,6.3,-20.44,8,96.38,306,3.62
GBR-0012,ACC-SYN-00012,potato,cryogenic,ROOM-1,BATCH-2024-05,1,2025,117.2,6.07,-20.5,4,86.66,863,13.34
GBR-0201,ACC-SYN-00201,potato,cryogenic,ROOM-4,BATCH-2025-02,2,2026,48.8,8.0,-18.86,1,90.86,871,9.14
GBR-0010,ACC-SYN-00010,sweetpotato,in-vitro,ROOM-5,BATCH-2024-03,3,2025,76.2,12.89,4.13,10,73.54,390,26.46
GBR-0079,ACC-SYN-00079,sweetpotato,in-vitro,ROOM-2,BATCH-2025-08,4,2026,35.4,9.25,4.34,,83.23,718,16.77
GBR-0044,ACC-SYN-00044,andean-root,in-vitro,ROOM-3,BATCH-2024-05,1,2025,115.0,8.85,8.21,1,71.17,616,28.83
GBR-0031,ACC-SYN-00031,sweetpotato,in-vitro,ROOM-2,BATCH-2025-08,4,2026,110.0,5.93,5.0,7,75.44,679,24.56
GBR-0024,ACC-SYN-00024,potato,cryogenic,ROOM-1,BATCH-2024-01,1,2025,73.3,5.52,-20.04,3,91.4,374,8.6
GBR-0049,ACC-SYN-00049,sweetpotato,in-vitro,ROOM-2,BATCH-2025-02,2,2026,91.1,8.31,4.38,10,77.07,401,22.93
GBR-0223,ACC-SYN-00223,sweetpotato,in-vitro,ROOM-2,BATCH-2025-08,4,2026,57.1,9.25,4.11,4,78.04,218,21.96
GBR-0168,ACC-SYN-00168,potato,cryogenic,ROOM-1,BATCH-2024-01,1,2025,65.5,3.53,-18.4,10,94.19,754,5.81
GBR-0016,ACC-SYN-00016,sweet potato,in-vitro,ROOM-5,BATCH-2024-01,1,2025,27.2,7.36,4.94,3,86.01,686,13.99
GBR-0238,ACC-SYN-00238,sweetpotato,in-vitro,ROOM-5,BATCH-2024-07,3,2025,72.4,11.12,4.15,4,83.27,762,16.73
GBR-0092,ACC-SYN-00092,andean-root,in-vitro,ROOM-3,BATCH-2024-05,1,2025,43.3,10.62,7.67,3,78.48,227,21.52
GBR-0097,ACC-SYN-00097,sweetpotato,in-vitro,ROOM-2,BATCH-2025-02,2,2026,4.88 years,11.85,3.93,6,71.96,547,28.04
GBR-0217,ACC-SYN-00217,sweetpotato,in-vitro,ROOM-2,BATCH-2025-02,2,2026,106.9,6.69,4.24,11,76.3,842,23.7
GBR-0054,ACC-SYN-00054,potato,cryogenic,ROOM-1,BATCH-2024-07,3,2025,102.4,3.58,-20.63,9,87.65,654,12.35
GBR-0062,ACC-SYN-00062,andean-root,in-vitro,ROOM-3,BATCH-2024-07,3,2025,28.5,5.88,8.43,4,83.23,671,16.77
GBR-0240,ACC-SYN-00240,potato,cryogenic,ROOM-1,BATCH-2024-01,1,2025,109.0,5.45,-20.14,8,87.68,883,12.32
GBR-0034,ACC-SYN-00034,sweetpotato,in-vitro,ROOM-5,BATCH-2024-03,3,2025,70.1,6.32,2.52,6,85.15,171,14.85
GBR-0067,ACC-SYN-00067,sweetpotato,in-vitro,ROOM-2,BATCH-2025-04,4,2026,104.6,6.53,3.75,7,76.52,556,23.48
GBR-0237,ACC-SYN-00237,potato,cryogenic,ROOM-4,BATCH-2025-06,2,2026,65.4,5.67,-19.78,7,89.67,605,10.33
GBR-0022,ACC-SYN-00022,sweetpotato,in-vitro,ROOM-5,BATCH-2024-07,3,2025,116.0,6.12,3.11,3,76.13,691,23.87
GBR-0179,ACC-SYN-00179,andean-root,in-vitro,ROOM-6,BATCH-2025-04,4,2026,123.8,9.55,6.79,10,66.32,920,33.68
GBR-0138,ACC-SYN-00138,potato,cryogenic,ROOM-1,BATCH-2024-03,3,2025,30.1,9.66,-20.65,4,94.07,657,5.93
GBR-0074,ACC-SYN-00074,andean-root,in-vitro,ROOM-3,,3,2025,110.0,10.8,8.66,8,68.52,852,31.48
GBR-0009,ACC-SYN-00009,potato,cryogenic,ROOM-4,BATCH-2025-02,2,2026,119.5,0,-20.85,1,84.98,101,15.02
GBR-0125,ACC-SYN-00125,Andean Root,in-vitro,ROOM-6,BATCH-2025-06,2,2026,54.0,5.01,7.73,3,84.02,653,15.98
GBR-0142,ACC-SYN-00142,sweetpotato,in-vitro,ROOM-5,BATCH-2024-07,3,2025,126.6,2.82,4.97,1,77.14,472,22.86
GBR-0053,ACC-SYN-00053,Andean Root,in-vitro,ROOM-6,BATCH-2025-06,2,2026,43.4,2.62,7.74,1,84.09,256,15.91
GBR-0218,ACC-SYN-00218,andean-root,in-vitro,ROOM-3,BATCH-2024-03,3,2025,85.1,8.73,8.17,7,72.3,849,27.7
GBR-0170,ACC-SYN-00170,andean-root,in-vitro,ROOM-3,BATCH-2024-03,3,2025,55.8,11.11,8.31,10,76.55,269,23.45
GBR-0213,ACC-SYN-00213,potato,cryogenic,ROOM-4,BATCH-2025-06,2,2026,86.6,6.01,-20.29,5,87.07,363,12.93
GBR-0193,ACC-SYN-00193,sweetpotato,in-vitro,ROOM-2,BATCH-2025-02,2,2026,120.0,8.02,3.55,3,73.0,802,27.0
GBR-0045,ACC-SYN-00045,potato,cryogenic,ROOM-4,BATCH-2025-06,2,2026,83.6,4.39,-18.83,3,92.41,106,7.59
GBR-0233,ACC-SYN-00233,ARTC,in-vitro,ROOM-6,BATCH-2025-02,2,2026,40.6,11.05,7.88,1,79.77,317,20.23
GBR-0197,ACC-SYN-00197,ARTC,in-vitro,ROOM-6,BATCH-2025-06,2,2026,92.9,10.6,45.3 F,,69.84,148,30.16
GBR-0199,ACC-SYN-00199,sweetpotato,in-vitro,ROOM-2,BATCH-2025-08,4,2026,42.9,10.55,3.71,1,78.72,762,21.28
GBR-0096,ACC-SYN-00096,potato,cryogenic,ROOM-1,BATCH-2024-01,1,2025,9.51 years,1.5,-19.75,9,87.57,407,12.43
GBR-0229,ACC-SYN-00229,sweetpotato,in-vitro,ROOM-2,BATCH-2025-06,2,2026,77.0,6.3,3.79,3,77.52,866,22.48
GBR-0098,ACC-SYN-00098,andean-root,in-vitro,ROOM-3,BATCH-2024-03,3,2025,95.2,5.61,8.27,12,81.04,469,18.96
GBR-0117,ACC-SYN-00117,potato,cryogenic,ROOM-4,BATCH-2025-06,2,2026,124.6,0,-19.68,4,90.68,825,9.32
GBR-0154,ACC-SYN-00154,sweetpotato,in-vitro,ROOM-5,BATCH-2024-03,3,2025,22.2,8.8,4.4,6,91.86,693,8.14
GBR-0203,ACC-SYN-00203,andean-root,in-vitro,ROOM-6,BATCH-2025-04,4,2026,94.1,,7.8,10,77.93,215,22.07
GBR-0228,ACC-SYN-00228,potato,cryogenic,ROOM-1,BATCH-2024-05,1,2025,15.4,,-20.75,4,98.87,706,1.13
GBR-0077,ACC-SYN-00077,andean-root,in-vitro,ROOM-6,BATCH-2025-06,2,2026,110.5,7.92,8.17,5,72.2,349,27.8
GBR-0144,ACC-SYN-00144,potato,cryogenic,ROOM-1,BATCH-2024-01,1,2025,81.6,6.09,-19.9,2,86.24,849,13.76
GBR-0185,ACC-SYN-00185,andean-root,,ROOM-6,BATCH-2025-02,2,2026,114.5,8.04,7.85,9,68.65,384,31.35
GBR-0147,ACC-SYN-00147,potato,cryogenic,ROOM-4,BATCH-2025-04,4,2026,122.7,5.79,-19.67,,87.7,376,12.3
GBR-0006,ACC-SYN-00006,potato,cryogenic,ROOM-1,BATCH-2024-07,3,2025,68.8,3.51,-21.31,11,93.26,944,6.74
GBR-0026,ACC-SYN-00026,andean-root,in-vitro,ROOM-3,BATCH-2024-03,3,2025,9.16 years,13.33,8.11,2,60.24,794,39.76
GBR-0050,ACC-SYN-00050,andean-root,in-vitro,ROOM-3,BATCH-2024-03,3,2025,37.1,10.79,47.6 F,12,77.39,643,22.61
GBR-0200,ACC-SYN-00200,andean-root,in-vitro,ROOM-3,BATCH-2024-01,1,2025,79.0,3.75,7.63,1,76.5,869,23.5
GBR-0106,ACC-SYN-00106,sweetpotato,in-vitro,ROOM-5,BATCH-2024-03,3,2025,60.1,4.69,4.19,10,85.75,680,14.25
GBR-0178,ACC-SYN-00178,sweetpotato,in-vitro,ROOM-5,BATCH-2024-03,3,2025,93.6,10.75,4.99,7,75.56,523,24.44
GBR-0156,ACC-SYN-00156,potato,,ROOM-1,BATCH-2024-05,1,2025,125.4,4.25,-20.1,8,85.38,867,14.62
GBR-0039,ACC-SYN-00039,potato,cryogenic,ROOM-4,BATCH-2025-08,4,2026,80.6,,-20.12,6,85.33,961,14.67
GBR-0089,ACC-SYN-00089,andean-root,in-vitro,ROOM-6,BATCH-2025-02,2,2026,88.5,6.8,7.41,11,74.5,254,25.5
GBR-0063,ACC-SYN-00063,potato,cryogenic,ROOM-4,BATCH-2025-08,4,2026,105.5,,-21.58,10,83.0,970,17.0
GBR-0232,ACC-SYN-00232,sweetpotato,in-vitro,ROOM-5,BATCH-2024-01,1,2025,16.0,9.67,5.19,2,83.46,487,16.54
GBR-0127,ACC-SYN-00127,sweet potato,in-vitro,ROOM-2,BATCH-2025-08,4,2026,122.1,13.22,4.12,10,65.24,430,34.76
GBR-0150,ACC-SYN-00150,potato,cryogenic,ROOM-1,BATCH-2024-07,3,2025,12.9,6.09,-20.54,5,96.73,295,3.27
GBR-0001,ACC-SYN-00001,sweetpotato,in vitro,ROOM-2,BATCH-2025-02,2,2026,83.3,8.08,3.19,11,77.37,758,22.63
GBR-0072,ACC-SYN-00072,potato,cryogenic,ROOM-1,BATCH-2024-01,1,2025,44.4,7.55,-19.73,5,89.32,857,10.68
GBR-0175,ACC-SYN-00175,sweetpotato,in-vitro,ROOM-2,BATCH-2025-08,4,2026,47.2,7.22,3.9,9,79.07,102,20.93
GBR-0107,ACC-SYN-00107,andean-root,in-vitro,ROOM-6,BATCH-2025-04,4,2026,75.8,7.69,8.62,7,76.72,481,23.28
GBR-0165,ACC-SYN-00165,potato,cryogenic,ROOM-4,BATCH-2025-06,2,2026,33.9,4.37,-19.6,5,94.88,480,5.12
GBR-0227,ACC-SYN-00227,andean-root,in-vitro,ROOM-6,BATCH-2025-04,4,2026,94.7,8.27,9.31,4,75.25,641,24.75
GBR-0141,ACC-SYN-00141,potato,,ROOM-4,BATCH-2025-06,2,2026,69.5,4.53,-19.67,2,96.49,990,3.51
GBR-0111,ACC-SYN-00111,potato,,ROOM-4,BATCH-2025-08,4,2026,35.0,3.8,-19.85,1,90.61,281,9.39
GBR-0100,ACC-SYN-00100,sweetpotato,in-vitro,ROOM-5,BATCH-2024-05,1,2025,95.8,7.85,3.04,5,76.3,236,23.7
GBR-0195,ACC-SYN-00195,potato,cryogenic,ROOM-4,BATCH-2025-04,4,2026,18.6,7.57,-18.71,7,93.57,739,6.43
GBR-0234,ACC-SYN-00234,potato,cryogenic,ROOM-1,BATCH-2024-03,3,2025,69.0,11.88,-19.75,12,85.15,113,14.85
GBR-0183,ACC-SYN-00183,potato,cryogenic,ROOM-4,BATCH-2025-08,4,2026,62.2,9.4,-19.94,1,80.53,820,19.47
GBR-0093,ACC-SYN-00093,potato,cryogenic,ROOM-4,BATCH-2025-06,2,2026,57.4,6.34,-20.5,5,88.75,767,11.25
GBR-0066,ACC-SYN-00066,potato,cryo,ROOM-1,,3,2025,46.7,0.24,-19.34,,98.5,838,1.5
GBR-0236,ACC-SYN-00236,andean-root,in-vitro,ROOM-3,BATCH-2024-05,1,2025,51.9,11.0,7.96,9,77.91,405,22.09
GBR-0190,ACC-SYN-00190,sweetpotato,in-vitro,ROOM-5,BATCH-2024-07,3,2025,121.7,6.25,4.26,2,72.62,559,27.38
GBR-0205,ACC-SYN-00205,sweetpotato,in vitro,ROOM-2,BATCH-2025-06,2,2026,44.0,12.56,4.77,1,77.81,345,22.19
GBR-0139,ACC-SYN-00139,sweetpotato,in-vitro,ROOM-2,BATCH-2025-04,4,2026,37.9,10.97,3.96,6,82.82,464,17.18
GBR-0116,ACC-SYN-00116,andean-root,in-vitro,ROOM-3,BATCH-2024-05,1,2025,86.6,5.92,8.63,7,80.1,187,19.9
GBR-0208,ACC-SYN-00208,sweetpotato,in-vitro,ROOM-5,BATCH-2024-01,1,2025,50.6,-8.0,3.58,12,81.21,736,18.79
GBR-0152,ACC-SYN-00152,andean-root,in vitro,ROOM-3,BATCH-2024-01,1,2025,57.4,7.98,7.66,7,78.86,793,21.14
GBR-0090,ACC-SYN-00090,potato,cryogenic,ROOM-1,BATCH-2024-03,3,2025,39.9,1.32,-19.63,4,96.85,284,3.15
