record_id,lot_id,country_site,crop,season,producer_scale,inspection_round,multiplication_cycle,virus_incidence_pct,training_visits,inspection_fee_usd,lot_weight_kg,marketable_seed_pct,rejection_pct,bag_label_number,marketable_seed_fraction
SSQ-0060,LOT-SYN-00060,Peru-Cusco,sweetpotato,2025-A,small,1,1,7.76,1,20.89,389.1,73.55,26.45,7976,0.7355
SSQ-0061,LOT-SYN-00061,Kenya-Nakuru,potato,2025-B,medium,2,2,1.48,1,33.74,842.3,86.41,13.59,6378,0.8641
SSQ-0062,LOT-SYN-00062,Uganda-Kabale,potato,2025-A,commercial,3,3,4.99,7,26.17,685.2,94.42,5.58,5458,0.9442
SSQ-0063,LOT-SYN-00063,India-Karnataka,sweetpotato,2025-B,small,1,4,7.64,4,41.94,436.2,94.9,5.1,2833,0.949
SSQ-0064,LOT-SYN-00064,Peru-Cusco,potato,2025-A,medium,2,5,18.12,1,17.28,643.4,61.43,38.57,4525,0.6143
SSQ-0065,LOT-SYN-00065,Kenya-Nakuru,potato,2025-B,commercial,3,1,8.29,0,33.9,548.8,81.9,18.1,7417,0.819
SSQ-0066,LOT-SYN-00066,Uganda-Kabale,sweetpotato,2025-A,small,1,2,11.25,3,24.62,499.6,70.57,29.43,4408,0.7057
SSQ-0067,LOT-SYN-00067,India-Karnataka,potato,2025-B,medium,2,3,10.4,0,42.91,794.3,86.83,13.17,9119,0.8683
SSQ-0068,LOT-SYN-00068,Peru-Cusco,potato,2025-A,commercial,3,4,10.66,1,21.64,698.3,66.67,33.33,8788,0.6667
SSQ-0069,LOT-SYN-00069,Kenya-Nakuru,sweetpotato,2025-B,small,1,5,10.92,5,30.72,616.9,86.16,13.84,2365,0.8616
SSQ-0070,LOT-SYN-00070,Uganda-Kabale,potato,2025-A,medium,2,1,18.1,5,25.77,248.6,71.36,28.64,7414,0.7136
SSQ-0071,LOT-SYN-00071,India-Karnataka,potato,2025-B,commercial,3,2,5.8,3,44.08,291.4,98.02,1.98,9933,0.9802
SSQ-0072,LOT-SYN-00072,Peru-Cusco,sweetpotato,2025-A,small,1,3,19.62,5,13.73,428.9,58.07,41.93,6371,0.5807
SSQ-0073,LOT-SYN-00073,Kenya-Nakuru,potato,2025-B,medium,2,4,1.4,7,32.11,638.4,100,0,4304,1.0
SSQ-0074,LOT-SYN-00074,Uganda-Kabale,potato,2025-A,commercial,3,5,8.49,3,24.86,466.4,79.94,20.06,8454,0.7994
SSQ-0075,LOT-SYN-00075,India-Karnataka,sweetpotato,2025-B,small,1,1,10.51,7,47.89,727.9,94.02,5.98,4370,0.9402
SSQ-0076,LOT-SYN-00076,Peru-Cusco,potato,2025-A,medium,2,2,7.18,1,16.48,758.1,73.0,27.0,5577,0.73
SSQ-0077,LOT-SYN-00077,Kenya-Nakuru,potato,2025-B,commercial,3,3,11.85,1,33.56,421.7,77.06,22.94,1823,0.7706
SSQ-0078,LOT-SYN-00078,Uganda-Kabale,sweetpotato,2025-A,small,1,4,10.34,6,27.9,310.9,82.16,17.84,3714,0.8216
SSQ-0079,LOT-SYN-00079,India-Karnataka,potato,2025-B,medium,2,5,14.32,4,41.47,885.1,88.87,11.13,8995,0.8887
SSQ-0080,LOT-SYN-00080,Peru-Cusco,potato,2025-A,commercial,3,1,1.86,1,20.94,1047.0,78.24,21.76,7487,0.7824
SSQ-0081,LOT-SYN-00081,Kenya-Nakuru,sweetpotato,2025-B,small,1,2,8.8,6,35.34,393.4,83.63,16.37,9155,0.8363
SSQ-0082,LOT-SYN-00082,Uganda-Kabale,potato,2025-A,medium,2,3,13.48,7,27.34,640.2,81.8,18.2,7064,0.818
SSQ-0083,LOT-SYN-00083,India-Karnataka,potato,2025-B,commercial,3,4,3.5,6,40.38,769.3,100,0,8644,1.0
SSQ-0084,LOT-SYN-00084,Peru-Cusco,sweetpotato,2025-A,small,1,5,4.32,4,18.75,274.6,87.78,12.22,4631,0.8778
SSQ-0085,LOT-SYN-00085,Kenya-Nakuru,potato,2025-B,medium,2,1,6.79,6,34.81,469.0,87.78,12.22,9026,0.8778
SSQ-0086,LOT-SYN-00086,Uganda-Kabale,potato,2025-A,commercial,3,2,7.56,6,30.87,712.2,90.28,9.72,4427,0.9028
SSQ-0087,LOT-SYN-00087,India-Karnataka,sweetpotato,2025-B,small,1,3,9.32,0,34.38,406.9,88.2,11.8,2053,0.882
SSQ-0088,LOT-SYN-00088,Peru-Cusco,potato,2025-A,medium,2,4,10.01,1,17.31,560.9,67.81,32.19,3237,0.6781
SSQ-0089,LOT-SYN-00089,Kenya-Nakuru,potato,2025-B,commercial,3,5,12.53,0,31.58,476.4,77.23,22.77,1569,0.7723
SSQ-0090,LOT-SYN-00090,Uganda-Kabale,sweetpotato,2025-A,small,1,1,8.46,0,27.28,473.8,67.97,32.03,5098,0.6797
SSQ-0091,LOT-SYN-00091,India-Karnataka,potato,2025-B,medium,2,2,0,5,45.18,700.3,100,0,6333,1.0
SSQ-0092,LOT-SYN-00092,Peru-Cusco,potato,2025-A,commercial,3,3,0,6,15.34,654.2,97.27,2.73,7774,0.9727
SSQ-0093,LOT-SYN-00093,Kenya-Nakuru,sweetpotato,2025-B,small,1,4,10.97,5,35.39,360.7,81.13,18.87,7662,0.8113
SSQ-0094,LOT-SYN-00094,Uganda-Kabale,potato,2025-A,medium,2,5,10.74,3,28.79,473.1,74.88,25.12,8468,0.7488
SSQ-0095,LOT-SYN-00095,India-Karnataka,potato,2025-B,commercial,3,1,9.19,5,46.46,559.9,90.42,9.58,6575,0.9042
SSQ-0096,LOT-SYN-00096,Peru-Cusco,sweetpotato,2025-A,small,1,2,4.08,3,21.48,279.3,83.81,16.19,4302,0.8381
SSQ-0097,LOT-SYN-00097,Kenya-Nakuru,potato,2025-B,medium,2,3,6.17,2,32.88,538.7,89.56,10.44,2004,0.8956
SSQ-0098,LOT-SYN-00098,Uganda-Kabale,potato,2025-A,commercial,3,4,3.96,4,28.45,748.3,83.66,16.34,4625,0.8366
SSQ-0099,LOT-SYN-00099,India-Karnataka,sweetpotato,2025-B,small,1,5,2.35,3,43.35,384.1,100,0,6396,1.0
SSQ-0100,LOT-SYN-00100,Peru-Cusco,potato,2025-A,medium,2,1,0,2,14.64,420.8,81.45,18.55,6644,0.8145
SSQ-0101,LOT-SYN-00101,Kenya-Nakuru,potato,2025-B,commercial,3,2,7.25,1,39.34,695.1,87.51,12.49,7204,0.8751
SSQ-0102,LOT-SYN-00102,Uganda-Kabale,sweetpotato,2025-A,small,1,3,1.31,1,27.03,304.1,88.59,11.41,1490,0.8859
SSQ-0103,LOT-SYN-00103,India-Karnataka,potato,2025-B,medium,2,4,12.43,6,46.65,434.5,82.61,17.39,3348,0.8261
SSQ-0104,LOT-SYN-00104,Peru-Cusco,potato,2025-A,commercial,3,5,9.67,4,17.41,667.8,79.28,20.72,4563,0.7928
SSQ-0105,LOT-SYN-00105,Kenya-Nakuru,sweetpotato,2025-B,small,1,1,10.1,1,35.36,453.3,77.36,22.64,5973,0.7736
SSQ-0106,LOT-SYN-00106,Uganda-Kabale,potato,2025-A,medium,2,2,0,6,31.32,934.6,93.93,6.07,6663,0.9393
SSQ-0107,LOT-SYN-00107,India-Karnataka,potato,2025-B,commercial,3,3,10.37,1,38.55,461.6,87.47,12.53,2983,0.8747
SSQ-0108,LOT-SYN-00108,Peru-Cusco,sweetpotato,2025-A,small,1,4,12.51,5,13.28,277.6,77.46,22.54,8777,0.7746
SSQ-0109,LOT-SYN-00109,Kenya-Nakuru,potato,2025-B,medium,2,5,13.46,0,31.68,587.1,63.76,36.24,5612,0.6376
SSQ-0110,LOT-SYN-00110,Uganda-Kabale,potato,2025-A,commercial,3,1,6.92,3,30.43,593.6,88.24,11.76,9365,0.8824
SSQ-0111,LOT-SYN-00111,India-Karnataka,sweetpotato,2025-B,small,1,2,12.67,3,36.33,440.2,73.98,26.02,1282,0.7398
SSQ-0112,LOT-SYN-00112,Peru-Cusco,potato,2025-A,medium,2,3,11.52,3,20.92,466.6,76.09,23.91,7607,0.7609
SSQ-0113,LOT-SYN-00113,Kenya-Nakuru,potato,2025-B,commercial,3,4,1.98,1,31.49,574.0,85.3,14.7,7121,0.853
SSQ-0114,LOT-SYN-00114,Uganda-Kabale,sweetpotato,2025-A,small,1,5,15.39,5,24.01,583.4,70.98,29.02,6331,0.7098
SSQ-0115,LOT-SYN-00115,India-Karnataka,potato,2025-B,medium,2,1,7.11,5,37.93,944.0,100,0,7032,1.0
SSQ-0116,LOT-SYN-00116,Peru-Cusco,potato,2025-A,commercial,3,2,6.92,7,16.64,741.2,80.82,19.18,9218,0.8082
SSQ-0117,LOT-SYN-00117,Kenya-Nakuru,sweetpotato,2025-B,small,1,3,9.98,5,29.82,366.5,89.58,10.42,6596,0.8958
SSQ-0118,LOT-SYN-00118,Uganda-Kabale,potato,2025-A,medium,2,4,16.47,6,31.73,772.5,80.47,19.53,9212,0.8047
SSQ-0119,LOT-SYN-00119,India-Karnataka,potato,2025-B,commercial,3,5,3.12,3,37.97,686.3,96.05,3.95,8160,0.9605
SSQ-0120,LOT-SYN-00120,Peru-Cusco,sweetpotato,2025-A,small,1,1,16.27,6,16.31,239.9,68.23,31.77,3353,0.6823
SSQ-0121,LOT-SYN-00121,Kenya-Nakuru,potato,2025-B,medium,2,2,4.51,5,34.96,363.1,94.37,5.63,5494,0.9437
SSQ-0122,LOT-SYN-00122,Uganda-Kabale,potato,2025-A,commercial,3,3,14.02,0,28.19,330.1,64.89,35.11,6357,0.6489
SSQ-0123,LOT-SYN-00123,India-Karnataka,sweetpotato,2025-B,small,1,4,3.84,7,39.6,557.3,99.54,0.46,5935,0.9954
SSQ-0124,LOT-SYN-00124,Peru-Cusco,potato,2025-A,medium,2,5,6.6,5,17.79,392.7,76.98,23.02,9761,0.7698
SSQ-0125,LOT-SYN-00125,Kenya-Nakuru,potato,2025-B,commercial,3,1,4.8,6,37.26,677.0,95.43,4.57,4284,0.9543
SSQ-0126,LOT-SYN-00126,Uganda-Kabale,sweetpotato,2025-A,small,1,2,10.96,4,22.58,394.8,75.93,24.07,2938,0.7593
SSQ-0127,LOT-SYN-00127,India-Karnataka,potato,2025-B,medium,2,3,0,7,41.94,466.0,100,0,8882,1.0
SSQ-0128,LOT-SYN-00128,Peru-Cusco,potato,2025-A,commercial,3,4,9.74,7,13.63,475.0,83.0,17.0,5128,0.83
SSQ-0129,LOT-SYN-00129,Kenya-Nakuru,sweetpotato,2025-B,small,1,5,12.87,0,35.31,371.1,70.61,29.39,7993,0.7061
SSQ-0130,LOT-SYN-00130,Uganda-Kabale,potato,2025-A,medium,2,1,8.58,6,27.52,794.3,78.74,21.26,3362,0.7874
SSQ-0131,LOT-SYN-00131,India-Karnataka,potato,2025-B,commercial,3,2,5.23,2,44.69,450.9,93.84,6.16,3452,0.9384
SSQ-0132,LOT-SYN-00132,Peru-Cusco,sweetpotato,2025-A,small,1,3,18.28,0,18.77,196.9,59.77,40.23,3611,0.5977
SSQ-0133,LOT-SYN-00133,Kenya-Nakuru,potato,2025-B,medium,2,4,11.8,5,33.38,695.5,77.18,22.82,2451,0.7718
SSQ-0134,LOT-SYN-00134,Uganda-Kabale,potato,2025-A,commercial,3,5,12.11,1,21.58,374.4,71.35,28.65,5641,0.7135
SSQ-0135,LOT-SYN-00135,India-Karnataka,sweetpotato,2025-B,small,1,1,2.61,2,39.33,433.8,97.74,2.26,6454,0.9774
SSQ-0136,LOT-SYN-00136,Peru-Cusco,potato,2025-A,medium,2,2,8.25,1,20.53,588.8,68.42,31.58,8070,0.6842
SSQ-0137,LOT-SYN-00137,Kenya-Nakuru,potato,2025-B,commercial,3,3,8.56,3,31.46,604.7,90.82,9.18,2392,0.9082
SSQ-0138,LOT-SYN-00138,Uganda-Kabale,sweetpotato,2025-A,small,1,4,14.2,3,27.35,311.2,71.16,28.84,4166,0.7116
SSQ-0139,LOT-SYN-00139,India-Karnataka,potato,2025-B,medium,2,5,12.83,6,46.56,691.2,90.32,9.68,3730,0.9032
SSQ-0140,LOT-SYN-00140,Peru-Cusco,potato,2025-A,commercial,3,1,0,6,14.87,480.4,82.68,17.32,4602,0.8268
SSQ-0141,LOT-SYN-00141,Kenya-Nakuru,sweetpotato,2025-B,small,1,2,8.77,1,38.23,343.4,77.46,22.54,7230,0.7746
SSQ-0142,LOT-SYN-00142,Uganda-Kabale,potato,2025-A,medium,2,3,2.62,4,26.47,755.6,95.15,4.85,6940,0.9515
SSQ-0143,LOT-SYN-00143,India-Karnataka,potato,2025-B,commercial,3,4,3.05,5,41.77,493.4,92.83,7.17,1364,0.9283
SSQ-0144,LOT-SYN-00144,Peru-Cusco,sweetpotato,2025-A,small,1,5,16.9,6,17.87,506.5,63.9,36.1,3274,0.639
SSQ-0145,LOT-SYN-00145,Kenya-Nakuru,potato,2025-B,medium,2,1,0,0,32.85,824.8,98.2,1.8,6754,0.982
SSQ-0146,LOT-SYN-00146,Uganda-Kabale,potato,2025-A,commercial,3,2,0.46,4,25.4,648.2,93.43,6.57,2076,0.9343
SSQ-0147,LOT-SYN-00147,India-Karnataka,sweetpotato,2025-B,small,1,3,5.91,1,40.79,406.0,94.2,5.8,6983,0.942
SSQ-0148,LOT-SYN-00148,Peru-Cusco,potato,2025-A,medium,2,4,9.46,1,17.95,753.5,69.53,30.47,6654,0.6953
SSQ-0149,LOT-SYN-00149,Kenya-Nakuru,potato,2025-B,commercial,3,5,0,3,31.84,545.6,94.56,5.44,2277,0.9456
SSQ-0150,LOT-SYN-00150,Uganda-Kabale,sweetpotato,2025-A,small,1,1,14.73,2,25.93,499.5,79.31,20.69,7176,0.7931
SSQ-0151,LOT-SYN-00151,India-Karnataka,potato,2025-B,medium,2,2,15.3,1,44.04,578.9,70.64,29.36,3152,0.7064
SSQ-0152,LOT-SYN-00152,Peru-Cusco,potato,2025-A,commercial,3,3,5.72,7,15.85,678.7,88.64,11.36,5166,0.8864
SSQ-0153,LOT-SYN-00153,Kenya-Nakuru,sweetpotato,2025-B,small,1,4,1.88,0,33.8,364.9,86.84,13.16,5425,0.8684
SSQ-0154,LOT-SYN-00154,Uganda-Kabale,potato,2025-A,medium,2,5,0,7,26.23,753.7,97.65,2.35,5080,0.9765
SSQ-0155,LOT-SYN-00155,India-Karnataka,potato,2025-B,commercial,3,1,6.59,4,42.7,451.9,97.45,2.55,8295,0.9745
SSQ-0156,LOT-SYN-00156,Peru-Cusco,sweetpotato,2025-A,small,1,2,6.89,4,19.13,275.1,77.25,22.75,9608,0.7725
SSQ-0157,LOT-SYN-00157,Kenya-Nakuru,potato,2025-B,medium,2,3,7.72,4,28.85,672.5,90.96,9.04,5367,0.9096
SSQ-0158,LOT-SYN-00158,Uganda-Kabale,potato,2025-A,commercial,3,4,8.54,3,23.57,702.5,73.94,26.06,6577,0.7394
SSQ-0159,LOT-SYN-00159,India-Karnataka,sweetpotato,2025-B,small,1,5,9.28,3,39.22,746.6,89.77,10.23,9564,0.8977
SSQ-0160,LOT-SYN-00160,Peru-Cusco,potato,2025-A,medium,2,1,15.95,4,19.01,714.5,69.0,31.0,3936,0.69
SSQ-0161,LOT-SYN-00161,Kenya-Nakuru,potato,2025-B,commercial,3,2,8.04,7,31.74,1033.8,93.55,6.45,5519,0.9355
SSQ-0162,LOT-SYN-00162,Uganda-Kabale,sweetpotato,2025-A,small,1,3,1.08,3,22.46,683.2,91.95,8.05,1633,0.9195
SSQ-0163,LOT-SYN-00163,India-Karnataka,potato,2025-B,medium,2,4,11.55,2,42.46,454.7,80.25,19.75,1159,0.8025
SSQ-0164,LOT-SYN-00164,Peru-Cusco,potato,2025-A,commercial,3,5,14.66,1,18.96,693.4,63.03,36.97,5996,0.6303
SSQ-0165,LOT-SYN-00165,Kenya-Nakuru,sweetpotato,2025-B,small,1,1,7.66,7,34.01,248.9,93.67,6.33,5359,0.9367
SSQ-0166,LOT-SYN-00166,Uganda-Kabale,potato,2025-A,medium,2,2,13.29,7,25.32,780.7,74.59,25.41,8693,0.7459
SSQ-0167,LOT-SYN-00167,India-Karnataka,potato,2025-B,commercial,3,3,11.07,4,41.55,582.4,96.83,3.17,7239,0.9683
SSQ-0168,LOT-SYN-00168,Peru-Cusco,sweetpotato,2025-A,small,1,4,12.51,2,15.98,564.3,67.6,32.4,9254,0.676
SSQ-0169,LOT-SYN-00169,Kenya-Nakuru,potato,2025-B,medium,2,5,9.12,4,32.84,522.1,78.85,21.15,8498,0.7885
SSQ-0170,LOT-SYN-00170,Uganda-Kabale,potato,2025-A,commercial,3,1,14.12,7,30.3,697.6,77.26,22.74,9940,0.7726
SSQ-0171,LOT-SYN-00171,India-Karnataka,sweetpotato,2025-B,small,1,2,15.86,1,45.0,565.2,82.18,17.82,8742,0.8218
SSQ-0172,LOT-SYN-00172,Peru-Cusco,potato,2025-A,medium,2,3,8.1,1,19.51,653.0,72.41,27.59,3317,0.7241
SSQ-0173,LOT-SYN-00173,Kenya-Nakuru,potato,2025-B,commercial,3,4,1.41,1,31.24,515.6,91.55,8.45,8218,0.9155
SSQ-0174,LOT-SYN-00174,Uganda-Kabale,sweetpotato,2025-A,small,1,5,10.52,4,24.92,560.0,74.13,25.87,1209,0.7413
SSQ-0175,LOT-SYN-00175,India-Karnataka,potato,2025-B,medium,2,1,9.49,5,45.61,704.4,91.57,8.43,8923,0.9157
SSQ-0176,LOT-SYN-00176,Peru-Cusco,potato,2025-A,commercial,3,2,6.24,3,20.62,501.2,86.09,13.91,5253,0.8609
SSQ-0177,LOT-SYN-00177,Kenya-Nakuru,sweetpotato,2025-B,small,1,3,21.74,0,31.81,295.6,64.03,35.97,9964,0.6403
SSQ-0178,LOT-SYN-00178,Uganda-Kabale,potato,2025-A,medium,2,4,2.67,2,24.3,593.7,84.45,15.55,8082,0.8445
SSQ-0179,LOT-SYN-00179,India-Karnataka,potato,2025-B,commercial,3,5,13.88,4,41.3,734.5,85.16,14.84,1454,0.8516
SSQ-0180,LOT-SYN-00180,Peru-Cusco,sweetpotato,2025-A,small,1,1,12.71,0,16.77,385.8,62.79,37.21,3788,0.6279
SSQ-0181,LOT-SYN-00181,Kenya-Nakuru,potato,2025-B,medium,2,2,9.09,1,31.7,798.8,78.59,21.41,2232,0.7859
SSQ-0182,LOT-SYN-00182,Uganda-Kabale,potato,2025-A,commercial,3,3,6.93,6,30.17,440.4,89.57,10.43,1347,0.8957
SSQ-0183,LOT-SYN-00183,India-Karnataka,sweetpotato,2025-B,small,1,4,3.76,0,41.22,247.5,92.27,7.73,7172,0.9227
SSQ-0184,LOT-SYN-00184,Peru-Cusco,potato,2025-A,medium,2,5,6.18,3,21.43,619.7,82.32,17.68,6875,0.8232
SSQ-0185,LOT-SYN-00185,Kenya-Nakuru,potato,2025-B,commercial,3,1,5.46,7,28.22,614.5,91.75,8.25,4385,0.9175
