record_id,location,season,block,replicate,lab_batch,genotype,flesh_color,orange_color_index,carotenoid_pathway_score,storage_days,beta_carotene_ug_g,iron_mg_kg,dry_matter_pct,sensory_acceptance_score,rack_slot_number,beta_carotene_mg_100g
SPN-0032,Kampala,2025-B,2,2,LAB-B,SP-SYN-004,orange,74.4,7.0,10.6,68.68,19.23,19.6,7.1,760,6.868
SPN-0033,Kampala,2025-B,3,3,LAB-B,SP-SYN-004,orange,74.4,12.9,11.2,65.24,16.19,19.3,5.6,223,6.524
SPN-0034,Lima,2025-B,1,1,LAB-B,SP-SYN-004,orange,73.0,8.1,12.2,60.69,23.56,22.5,5.8,629,6.069
SPN-0035,Lima,2025-B,2,2,LAB-B,SP-SYN-004,orange,73.0,15.3,13.8,80.95,24.7,18.8,6.0,868,8.095
SPN-0036,Lima,2025-B,3,3,LAB-B,SP-SYN-004,orange,73.1,11.9,10.6,58.13,25.83,17.6,7.5,791,5.813
SPN-0037,Maputo,2025-B,1,1,LAB-A,SP-SYN-005,cream,53.3,87.6,42.9,99.77,26.53,20.3,6.5,519,9.977
SPN-0038,Maputo,2025-B,2,2,LAB-A,SP-SYN-005,cream,53.1,90.8,42.2,105.45,26.36,23.2,7.0,503,10.545
SPN-0039,Maputo,2025-B,3,3,LAB-A,SP-SYN-005,cream,54.5,90.5,45.4,102.37,19.72,23.4,7.8,706,10.237
SPN-0040,Kampala,2025-B,1,1,LAB-A,SP-SYN-005,cream,47.3,91.9,39.6,109.66,19.71,20.7,6.5,776,10.966
SPN-0041,Kampala,2025-B,2,2,LAB-A,SP-SYN-005,cream,52.4,89.3,43.5,95.95,9.74,21.3,6.4,814,9.595
SPN-0042,Kampala,2025-B,3,3,LAB-A,SP-SYN-005,cream,53.1,87.4,35.5,100.63,21.98,19.7,7.1,605,10.063
SPN-0043,Lima,2025-B,1,1,LAB-A,SP-SYN-005,cream,50.7,83.7,40.2,109.64,20.37,20.1,7.6,143,10.964
SPN-0044,Lima,2025-B,2,2,LAB-A,SP-SYN-005,cream,54.4,84.2,43.5,95.1,24.98,21.2,7.5,768,9.51
SPN-0045,Lima,2025-B,3,3,LAB-A,SP-SYN-005,cream,52.0,86.4,44.7,94.6,20.76,23.2,8.9,276,9.46
SPN-0046,Maputo,2025-B,1,1,LAB-B,SP-SYN-006,orange,82.0,39.2,9.4,70.65,20.47,20.7,6.6,309,7.065
SPN-0047,Maputo,2025-B,2,2,LAB-B,SP-SYN-006,orange,81.6,35.4,10.2,84.93,25.34,17.4,6.8,231,8.493
SPN-0048,Maputo,2025-B,3,3,LAB-B,SP-SYN-006,orange,81.0,40.3,14.4,79.84,23.61,16.4,6.0,926,7.984
SPN-0049,Kampala,2025-B,1,1,LAB-B,SP-SYN-006,orange,82.4,32.5,10.7,83.34,21.72,19.2,5.4,456,8.334
SPN-0050,Kampala,2025-B,2,2,LAB-B,SP-SYN-006,orange,81.9,27.8,14.5,87.89,31.47,16.0,6.2,218,8.789
SPN-0051,Kampala,2025-B,3,3,LAB-B,SP-SYN-006,orange,80.7,35.2,17.1,84.04,23.12,18.5,6.1,697,8.404
SPN-0052,Lima,2025-B,1,1,LAB-B,SP-SYN-006,orange,77.0,32.9,9.1,79.02,23.05,19.0,6.2,794,7.902
SPN-0053,Lima,2025-B,2,2,LAB-B,SP-SYN-006,orange,80.3,34.7,7.3,79.58,19.34,15.4,6.3,794,7.958
SPN-0054,Lima,2025-B,3,3,LAB-B,SP-SYN-006,orange,80.0,34.0,13.4,81.65,23.06,21.0,8.7,908,8.165
SPN-0055,Maputo,2025-B,1,1,LAB-A,SP-SYN-007,orange,72.1,26.1,41.7,92.79,29.16,21.2,7.0,154,9.279
SPN-0056,Maputo,2025-B,2,2,LAB-A,SP-SYN-007,orange,71.8,22.6,43.9,88.35,20.34,21.7,7.8,114,8.835
SPN-0057,Maputo,2025-B,3,3,LAB-A,SP-SYN-007,orange,68.7,22.3,48.9,94.76,16.48,20.7,6.5,650,9.476
SPN-0058,Kampala,2025-B,1,1,LAB-A,SP-SYN-007,orange,75.9,21.8,38.6,90.27,20.93,18.3,7.2,771,9.027
SPN-0059,Kampala,2025-B,2,2,LAB-A,SP-SYN-007,orange,70.1,31.8,41.4,96.57,25.49,18.2,7.3,930,9.657
SPN-0060,Kampala,2025-B,3,3,LAB-A,SP-SYN-007,orange,71.0,28.4,39.3,90.52,21.41,21.1,7.7,225,9.052
SPN-0061,Lima,2025-B,1,1,LAB-A,SP-SYN-007,orange,71.7,24.5,44.8,90.34,24.73,18.3,6.6,688,9.034
SPN-0062,Lima,2025-B,2,2,LAB-A,SP-SYN-007,orange,69.1,23.2,39.9,88.12,18.01,18.0,6.2,991,8.812
SPN-0063,Lima,2025-B,3,3,LAB-A,SP-SYN-007,orange,71.9,31.7,38.6,92.63,28.54,17.8,6.1,596,9.263
SPN-0064,Maputo,2025-B,1,1,LAB-B,SP-SYN-008,orange,85.2,62.6,12.3,96.14,27.19,21.7,8.3,436,9.614
SPN-0065,Maputo,2025-B,2,2,LAB-B,SP-SYN-008,orange,82.0,57.8,10.9,84.04,24.28,19.9,5.8,187,8.404
SPN-0066,Maputo,2025-B,3,3,LAB-B,SP-SYN-008,orange,80.7,56.5,14.2,87.41,25.97,18.4,6.6,492,8.741
SPN-0067,Kampala,2025-B,1,1,LAB-B,SP-SYN-008,orange,84.8,62.0,12.9,95.69,23.19,20.3,7.5,533,9.569
SPN-0068,Kampala,2025-B,2,2,LAB-B,SP-SYN-008,orange,78.0,58.0,10.4,87.12,22.49,19.5,6.9,459,8.712
SPN-0069,Kampala,2025-B,3,3,LAB-B,SP-SYN-008,orange,80.1,62.6,16.0,88.38,17.07,19.3,5.2,373,8.838
SPN-0070,Lima,2025-B,1,1,LAB-B,SP-SYN-008,orange,81.9,63.8,8.4,75.7,26.33,19.8,6.4,353,7.57
SPN-0071,Lima,2025-B,2,2,LAB-B,SP-SYN-008,orange,82.3,59.7,12.0,88.2,25.22,19.8,7.7,125,8.82
SPN-0072,Lima,2025-B,3,3,LAB-B,SP-SYN-008,orange,79.6,58.1,16.3,98.79,20.12,19.5,7.7,124,9.879
SPN-0073,Maputo,2025-B,1,1,LAB-A,SP-SYN-009,orange,94.7,66.7,42.0,125.88,27.12,21.4,7.0,635,12.588
SPN-0074,Maputo,2025-B,2,2,LAB-A,SP-SYN-009,orange,91.8,70.9,43.2,119.53,30.25,21.2,7.4,577,11.953
SPN-0075,Maputo,2025-B,3,3,LAB-A,SP-SYN-009,orange,94.7,63.5,36.7,122.8,26.84,17.0,6.2,387,12.28
SPN-0076,Kampala,2025-B,1,1,LAB-A,SP-SYN-009,orange,89.7,66.9,46.4,113.77,22.71,17.8,8.5,801,11.377
SPN-0077,Kampala,2025-B,2,2,LAB-A,SP-SYN-009,orange,90.8,69.5,40.8,120.22,30.37,18.1,7.2,497,12.022
SPN-0078,Kampala,2025-B,3,3,LAB-A,SP-SYN-009,orange,91.1,69.7,42.6,131.14,15.85,16.8,7.8,981,13.114
SPN-0079,Lima,2025-B,1,1,LAB-A,SP-SYN-009,orange,93.6,67.8,38.4,126.44,25.49,16.7,6.5,521,12.644
SPN-0080,Lima,2025-B,2,2,LAB-A,SP-SYN-009,orange,94.5,64.1,42.4,126.25,26.94,17.9,6.9,576,12.625
SPN-0081,Lima,2025-B,3,3,LAB-A,SP-SYN-009,orange,90.8,67.0,43.9,130.61,24.07,18.6,7.7,946,13.061
SPN-0082,Maputo,2025-B,1,1,LAB-B,SP-SYN-010,purple,9.3,71.7,10.7,35.24,27.58,24.9,7.4,236,3.524
SPN-0083,Maputo,2025-B,2,2,LAB-B,SP-SYN-010,purple,11.6,73.1,11.8,27.03,21.93,21.6,6.7,723,2.703
SPN-0084,Maputo,2025-B,3,3,LAB-B,SP-SYN-010,purple,10.5,73.7,7.2,29.68,16.8,23.5,7.2,567,2.968
SPN-0085,Kampala,2025-B,1,1,LAB-B,SP-SYN-010,purple,13.3,74.9,13.0,37.54,22.91,20.8,7.2,365,3.754
SPN-0086,Kampala,2025-B,2,2,LAB-B,SP-SYN-010,purple,8.1,78.1,8.8,31.65,15.2,25.6,7.9,643,3.165
SPN-0087,Kampala,2025-B,3,3,LAB-B,SP-SYN-010,purple,11.2,77.8,9.5,42.65,15.43,26.4,7.7,584,4.265
SPN-0088,Lima,2025-B,1,1,LAB-B,SP-SYN-010,purple,8.2,67.1,12.6,25.63,23.03,23.7,7.7,580,2.563
SPN-0089,Lima,2025-B,2,2,LAB-B,SP-SYN-010,purple,8.9,72.8,14.0,36.08,25.16,24.3,6.9,414,3.608
SPN-0090,Lima,2025-B,3,3,LAB-B,SP-SYN-010,purple,10.3,75.5,10.8,18.55,22.13,22.2,7.0,904,1.855
SPN-0091,Maputo,2025-B,1,1,LAB-A,SP-SYN-011,orange,93.1,68.3,41.9,129.24,26.95,21.1,7.0,245,12.924
SPN-0092,Maputo,2025-B,2,2,LAB-A,SP-SYN-011,orange,91.7,68.3,42.1,126.43,26.16,16.8,6.0,489,12.643
SPN-0093,Maputo,2025-B,3,3,LAB-A,SP-SYN-011,orange,91.5,72.5,41.5,127.17,17.92,17.5,6.9,533,12.717
SPN-0094,Kampala,2025-B,1,1,LAB-A,SP-SYN-011,orange,90.1,67.4,42.9,130.48,16.4,21.2,6.4,676,13.048
SPN-0095,Kampala,2025-B,2,2,LAB-A,SP-SYN-011,orange,91.8,71.4,40.3,122.89,24.13,16.5,6.4,898,12.289
SPN-0096,Kampala,2025-B,3,3,LAB-A,SP-SYN-011,orange,91.3,76.2,41.4,113.39,23.22,18.2,7.4,960,11.339
SPN-0097,Lima,2025-B,1,1,LAB-A,SP-SYN-011,orange,95.5,72.5,38.8,120.56,18.34,17.0,5.4,418,12.056
SPN-0098,Lima,2025-B,2,2,LAB-A,SP-SYN-011,orange,94.0,68.9,45.9,116.4,21.21,15.7,6.3,331,11.64
SPN-0099,Lima,2025-B,3,3,LAB-A,SP-SYN-011,orange,92.6,72.4,44.9,126.47,15.47,19.4,5.8,531,12.647
SPN-0100,Maputo,2025-B,1,1,LAB-B,SP-SYN-012,purple,10.3,81.0,13.4,40.48,20.75,25.5,8.7,946,4.048
SPN-0101,Maputo,2025-B,2,2,LAB-B,SP-SYN-012,purple,13.5,80.7,10.2,27.72,22.96,21.0,6.4,842,2.772
SPN-0102,Maputo,2025-B,3,3,LAB-B,SP-SYN-012,purple,12.1,83.4,13.8,28.87,22.65,24.6,6.0,237,2.887
SPN-0103,Kampala,2025-B,1,1,LAB-B,SP-SYN-012,purple,12.0,78.4,12.8,31.44,20.34,21.9,6.1,319,3.144
SPN-0104,Kampala,2025-B,2,2,LAB-B,SP-SYN-012,purple,11.2,81.8,4.9,47.85,27.42,22.4,7.5,468,4.785
SPN-0105,Kampala,2025-B,3,3,LAB-B,SP-SYN-012,purple,10.4,78.8,18.7,30.99,25.17,25.8,7.7,871,3.099
SPN-0106,Lima,2025-B,1,1,LAB-B,SP-SYN-012,purple,12.0,78.6,8.6,35.43,18.91,22.3,7.5,219,3.543
SPN-0107,Lima,2025-B,2,2,LAB-B,SP-SYN-012,purple,8.6,80.6,12.3,30.0,23.05,23.0,9.0,233,3.0
SPN-0108,Lima,2025-B,3,3,LAB-B,SP-SYN-012,purple,9.6,75.6,10.2,31.84,27.08,21.6,7.1,572,3.184
SPN-0109,Maputo,2025-B,1,1,LAB-A,SP-SYN-013,cream,54.2,69.3,42.4,89.21,30.14,20.2,6.9,419,8.921
SPN-0110,Maputo,2025-B,2,2,LAB-A,SP-SYN-013,cream,51.6,64.4,44.1,100.05,24.93,20.2,6.8,532,10.005
SPN-0111,Maputo,2025-B,3,3,LAB-A,SP-SYN-013,cream,52.6,66.4,41.1,74.72,22.24,20.4,6.1,329,7.472
SPN-0112,Kampala,2025-B,1,1,LAB-A,SP-SYN-013,cream,51.0,63.8,41.8,87.32,26.69,19.7,6.8,711,8.732
SPN-0113,Kampala,2025-B,2,2,LAB-A,SP-SYN-013,cream,51.9,64.8,39.3,88.39,23.91,20.1,6.0,491,8.839
SPN-0114,Kampala,2025-B,3,3,LAB-A,SP-SYN-013,cream,53.0,71.2,37.3,84.16,19.44,21.8,6.3,141,8.416
SPN-0115,Lima,2025-B,1,1,LAB-A,SP-SYN-013,cream,52.8,65.2,36.7,87.05,25.94,20.9,7.5,111,8.705
SPN-0116,Lima,2025-B,2,2,LAB-A,SP-SYN-013,cream,52.4,64.6,41.1,90.71,25.51,20.2,7.4,733,9.071
SPN-0117,Lima,2025-B,3,3,LAB-A,SP-SYN-013,cream,54.5,69.7,42.0,90.77,26.01,20.4,7.9,163,9.077
SPN-0118,Maputo,2025-B,1,1,LAB-B,SP-SYN-014,purple,14.7,24.6,11.0,11.2,23.7,24.8,6.9,575,1.12
SPN-0119,Maputo,2025-B,2,2,LAB-B,SP-SYN-014,purple,13.8,25.1,14.0,20.5,28.43,25.7,8.3,143,2.05
SPN-0120,Maputo,2025-B,3,3,LAB-B,SP-SYN-014,purple,15.1,20.9,13.1,20.22,25.77,18.5,7.7,867,2.022
SPN-0121,Kampala,2025-B,1,1,LAB-B,SP-SYN-014,purple,16.2,23.3,13.0,18.53,27.66,23.5,7.2,212,1.853
SPN-0122,Kampala,2025-B,2,2,LAB-B,SP-SYN-014,purple,14.3,25.8,12.0,21.25,23.52,21.6,7.9,747,2.125
SPN-0123,Kampala,2025-B,3,3,LAB-B,SP-SYN-014,purple,17.9,24.5,14.0,13.35,14.35,22.0,6.5,126,1.335
SPN-0124,Lima,2025-B,1,1,LAB-B,SP-SYN-014,purple,14.2,24.0,8.1,8.0,23.83,23.5,7.8,839,0.8
SPN-0125,Lima,2025-B,2,2,LAB-B,SP-SYN-014,purple,15.5,19.1,16.9,14.49,24.2,20.7,7.0,314,1.449
SPN-0126,Lima,2025-B,3,3,LAB-B,SP-SYN-014,purple,16.8,20.6,12.0,12.58,28.55,21.5,8.0,413,1.258
SPN-0127,Maputo,2025-B,1,1,LAB-A,SP-SYN-015,purple,25.3,20.6,34.7,56.74,21.25,19.4,6.5,864,5.674
SPN-0128,Maputo,2025-B,2,2,LAB-A,SP-SYN-015,purple,25.6,25.9,42.4,46.84,31.35,26.2,7.7,438,4.684
SPN-0129,Maputo,2025-B,3,3,LAB-A,SP-SYN-015,purple,21.2,21.9,40.3,48.18,18.26,24.1,8.0,997,4.818
SPN-0130,Kampala,2025-B,1,1,LAB-A,SP-SYN-015,purple,27.9,13.4,46.0,58.45,25.73,22.3,7.9,753,5.845
SPN-0131,Kampala,2025-B,2,2,LAB-A,SP-SYN-015,purple,22.4,20.4,35.3,45.54,25.98,20.3,6.0,250,4.554
SPN-0132,Kampala,2025-B,3,3,LAB-A,SP-SYN-015,purple,23.0,19.8,38.3,51.8,25.76,24.3,7.3,175,5.18
SPN-0133,Lima,2025-B,1,1,LAB-A,SP-SYN-015,purple,26.4,13.4,44.1,48.61,23.12,21.2,7.0,151,4.861
SPN-0134,Lima,2025-B,2,2,LAB-A,SP-SYN-015,purple,23.1,10.3,35.6,45.91,15.09,23.0,7.7,219,4.591
SPN-0135,Lima,2025-B,3,3,LAB-A,SP-SYN-015,purple,22.9,23.4,42.1,54.38,18.04,23.3,6.9,633,5.438
SPN-0136,Maputo,2025-B,1,1,LAB-B,SP-SYN-016,cream,35.8,61.6,9.4,53.54,20.97,25.0,7.3,231,5.354
SPN-0137,Maputo,2025-B,2,2,LAB-B,SP-SYN-016,cream,32.2,55.5,13.8,53.89,21.27,20.3,6.5,170,5.389
SPN-0138,Maputo,2025-B,3,3,LAB-B,SP-SYN-016,cream,34.4,58.7,14.1,31.88,31.51,19.7,8.2,297,3.188
SPN-0139,Kampala,2025-B,1,1,LAB-B,SP-SYN-016,cream,33.3,59.7,11.2,47.33,26.73,21.8,6.9,349,4.733
SPN-0140,Kampala,2025-B,2,2,LAB-B,SP-SYN-016,cream,33.2,59.4,11.5,46.58,23.77,19.8,7.0,999,4.658
SPN-0141,Kampala,2025-B,3,3,LAB-B,SP-SYN-016,cream,34.9,63.3,9.7,44.4,22.22,18.0,6.6,757,4.44
SPN-0142,Lima,2025-B,1,1,LAB-B,SP-SYN-016,cream,30.3,55.4,13.3,49.87,20.91,21.0,6.8,171,4.987
SPN-0143,Lima,2025-B,2,2,LAB-B,SP-SYN-016,cream,30.7,59.8,9.8,42.84,22.08,20.6,6.9,303,4.284
SPN-0144,Lima,2025-B,3,3,LAB-B,SP-SYN-016,cream,31.3,61.5,11.0,46.13,21.98,22.1,7.0,994,4.613
SPN-0145,Maputo,2025-B,1,1,LAB-A,SP-SYN-017,orange,64.2,47.3,40.1,92.49,24.04,19.2,8.4,219,9.249
SPN-0146,Maputo,2025-B,2,2,LAB-A,SP-SYN-017,orange,66.1,46.3,46.4,93.14,22.29,21.5,7.2,674,9.314
SPN-0147,Maputo,2025-B,3,3,LAB-A,SP-SYN-017,orange,64.7,44.2,39.8,97.12,17.87,23.6,8.0,479,9.712
SPN-0148,Kampala,2025-B,1,1,LAB-A,SP-SYN-017,orange,65.0,51.2,42.6,95.72,22.79,19.4,6.3,303,9.572
SPN-0149,Kampala,2025-B,2,2,LAB-A,SP-SYN-017,orange,64.5,42.3,40.4,102.54,23.1,20.8,7.1,119,10.254
SPN-0150,Kampala,2025-B,3,3,LAB-A,SP-SYN-017,orange,64.5,52.0,41.5,95.18,19.89,20.9,6.5,211,9.518
SPN-0151,Lima,2025-B,1,1,LAB-A,SP-SYN-017,orange,66.5,51.0,40.3,100.35,20.61,20.5,5.8,309,10.035
SPN-0152,Lima,2025-B,2,2,LAB-A,SP-SYN-017,orange,65.5,44.3,42.2,89.52,21.17,21.1,5.7,126,8.952
SPN-0153,Lima,2025-B,3,3,LAB-A,SP-SYN-017,orange,62.8,50.9,42.0,95.26,17.74,17.5,7.3,536,9.526
SPN-0154,Maputo,2025-B,1,1,LAB-B,SP-SYN-018,purple,13.8,29.9,14.1,21.81,25.69,21.5,7.3,431,2.181
SPN-0155,Maputo,2025-B,2,2,LAB-B,SP-SYN-018,purple,11.9,33.7,16.5,36.93,24.58,25.8,7.3,168,3.693
SPN-0156,Maputo,2025-B,3,3,LAB-B,SP-SYN-018,purple,14.9,28.4,6.9,7.41,20.6,20.7,7.6,206,0.741
SPN-0157,Kampala,2025-B,1,1,LAB-B,SP-SYN-018,purple,15.8,31.2,13.8,23.04,22.06,24.3,7.2,232,2.304
SPN-0158,Kampala,2025-B,2,2,LAB-B,SP-SYN-018,purple,13.1,31.7,13.5,25.68,19.72,22.7,7.2,145,2.568
SPN-0159,Kampala,2025-B,3,3,LAB-B,SP-SYN-018,purple,9.1,29.8,10.7,14.83,17.93,24.5,7.6,776,1.483
SPN-0160,Lima,2025-B,1,1,LAB-B,SP-SYN-018,purple,13.0,31.6,9.9,11.16,18.0,22.7,6.3,279,1.116
SPN-0161,Lima,2025-B,2,2,LAB-B,SP-SYN-018,purple,13.4,39.6,12.4,35.15,27.46,24.4,8.5,535,3.515
SPN-0162,Lima,2025-B,3,3,LAB-B,SP-SYN-018,purple,14.3,31.4,14.7,33.31,14.64,24.4,6.8,106,3.331
SPN-0163,Maputo,2025-B,1,1,LAB-A,SP-SYN-019,purple,6.3,78.7,38.4,51.83,26.21,21.7,8.6,981,5.183
SPN-0164,Maputo,2025-B,2,2,LAB-A,SP-SYN-019,purple,9.1,71.8,41.6,57.91,19.96,23.6,8.8,109,5.791
SPN-0165,Maputo,2025-B,3,3,LAB-A,SP-SYN-019,purple,10.4,71.2,39.8,62.91,20.41,23.0,6.8,496,6.291
SPN-0166,Kampala,2025-B,1,1,LAB-A,SP-SYN-019,purple,7.0,71.4,42.4,58.21,25.76,26.4,6.9,276,5.821
SPN-0167,Kampala,2025-B,2,2,LAB-A,SP-SYN-019,purple,7.8,70.4,47.1,57.31,23.63,23.1,6.5,607,5.731
SPN-0168,Kampala,2025-B,3,3,LAB-A,SP-SYN-019,purple,16.7,75.5,38.1,59.54,17.98,23.3,7.0,825,5.954
SPN-0169,Lima,2025-B,1,1,LAB-A,SP-SYN-019,purple,10.8,75.2,47.8,67.85,20.48,21.1,6.4,110,6.785
SPN-0170,Lima,2025-B,2,2,LAB-A,SP-SYN-019,purple,11.0,72.5,42.4,52.56,25.06,23.1,7.1,200,5.256
SPN-0171,Lima,2025-B,3,3,LAB-A,SP-SYN-019,purple,9.5,79.1,48.1,64.6,20.0,23.6,7.0,681,6.46
SPN-0172,Maputo,2025-B,1,1,LAB-B,SP-SYN-020,orange,79.6,14.3,21.3,65.27,24.84,19.1,6.4,695,6.527
SPN-0173,Maputo,2025-B,2,2,LAB-B,SP-SYN-020,orange,75.0,11.4,7.1,75.88,23.6,18.4,6.0,181,7.588
SPN-0174,Maputo,2025-B,3,3,LAB-B,SP-SYN-020,orange,73.6,18.6,15.9,56.15,18.23,16.5,7.4,801,5.615
SPN-0175,Kampala,2025-B,1,1,LAB-B,SP-SYN-020,orange,75.1,17.0,5.6,69.32,23.11,20.2,7.7,461,6.932
SPN-0176,Kampala,2025-B,2,2,LAB-B,SP-SYN-020,orange,76.9,20.2,7.9,79.54,22.04,16.2,5.1,574,7.954
SPN-0177,Kampala,2025-B,3,3,LAB-B,SP-SYN-020,orange,74.1,19.6,14.4,60.58,16.37,17.7,7.0,714,6.058
SPN-0178,Lima,2025-B,1,1,LAB-B,SP-SYN-020,orange,75.4,20.3,15.8,60.43,25.69,19.0,6.1,438,6.043
SPN-0179,Lima,2025-B,2,2,LAB-B,SP-SYN-020,orange,78.3,21.3,15.3,76.96,13.82,19.8,7.6,156,7.696
SPN-0180,Lima,2025-B,3,3,LAB-B,SP-SYN-020,orange,71.1,19.5,16.8,67.09,20.82,18.3,7.7,563,6.709
