record_id,site,season,block,plot,crop,management_system,rainfall_mm,soil_moisture_pct,mulch_coverage_pct,irrigation_events,nitrogen_kg_ha,yield_t_ha,water_use_efficiency_kg_m3,weather_station_serial_digit,gross_revenue_usd_ha
CSA-0079,Coast-dry,2024-25,4,9,sweetpotato,farmer-practice,36.6,18.9,59.4,11.7,126.0,34.8,80,4532,11076.67
CSA-0080,Coast-dry,2024-25,4,10,potato,farmer-practice,45.5,25.2,0,10.1,73.3,31.44,80,3932,8044.29
CSA-0081,Lake-region,2024-25,1,1,sweetpotato,improved,437.0,18.2,26.0,6.2,129.0,28.44,48.56,8367,7945.36
CSA-0082,Lake-region,2024-25,1,2,potato,improved,455.2,29.2,65.5,5.3,97.7,39.54,70.25,3652,11363.46
CSA-0083,Lake-region,2024-25,1,3,sweetpotato,improved,407.2,18.1,52.6,5.6,111.9,28.35,49.73,7465,7122.14
CSA-0084,Lake-region,2024-25,1,4,potato,improved,470.2,19.0,27.8,6.9,117.8,26.91,44.6,3952,7629.77
CSA-0085,Lake-region,2024-25,1,5,sweetpotato,improved,463.6,26.6,69.4,7.1,107.7,39.44,64.82,1427,12773.71
CSA-0086,Lake-region,2024-25,1,6,potato,improved,403.6,21.1,65.1,6.4,94.1,32.77,55.64,2893,10238.31
CSA-0087,Lake-region,2024-25,1,7,sweetpotato,improved,502.9,20.8,73.1,5.4,104.1,31.57,55.76,2798,7897.84
CSA-0088,Lake-region,2024-25,1,8,potato,improved,427.3,24.7,51.0,8.4,65.9,37.69,58.92,1013,10410.09
CSA-0089,Lake-region,2024-25,1,9,sweetpotato,improved,492.1,24.5,85.6,7.0,110.4,39.32,64.99,6211,12694.12
CSA-0090,Lake-region,2024-25,1,10,potato,improved,426.6,23.2,52.8,7.6,113.7,33.65,54.27,3708,9669.62
CSA-0091,Lake-region,2024-25,2,1,sweetpotato,farmer-practice,446.6,22.3,63.5,6.8,110.6,37.21,62.1,2182,10615.68
CSA-0092,Lake-region,2024-25,2,2,potato,farmer-practice,389.0,19.8,11.3,5.3,97.8,27.13,48.15,2207,8287.72
CSA-0093,Lake-region,2024-25,2,3,sweetpotato,farmer-practice,421.1,27.3,65.8,6.2,76.7,32.14,54.85,8140,10202.26
CSA-0094,Lake-region,2024-25,2,4,potato,farmer-practice,463.9,31.4,19.6,4.0,59.5,34.69,65.42,1729,9372.92
CSA-0095,Lake-region,2024-25,2,5,sweetpotato,farmer-practice,508.8,20.1,51.0,6.7,75.7,33.01,55.15,1103,9635.04
CSA-0096,Lake-region,2024-25,2,6,potato,farmer-practice,435.4,23.0,20.3,7.5,138.3,27.95,45.24,2314,8184.76
CSA-0097,Lake-region,2024-25,2,7,sweetpotato,farmer-practice,458.3,27.6,51.4,6.5,89.3,34.74,58.55,9281,9390.61
CSA-0098,Lake-region,2024-25,2,8,potato,farmer-practice,444.9,19.0,41.5,7.9,86.6,29.28,46.65,4082,8772.3
CSA-0099,Lake-region,2024-25,2,9,sweetpotato,farmer-practice,409.7,26.4,41.1,6.8,90.2,37.83,63.11,8994,9784.92
CSA-0100,Lake-region,2024-25,2,10,potato,farmer-practice,411.7,11.2,31.9,5.6,113.5,24.06,42.16,9621,6461.01
CSA-0101,Lake-region,2024-25,3,1,sweetpotato,improved,415.1,17.3,44.3,7.6,119.7,26.78,43.19,6180,8709.72
CSA-0102,Lake-region,2024-25,3,2,potato,improved,411.5,18.6,41.3,6.5,124.3,29.97,50.52,4860,9163.52
CSA-0103,Lake-region,2024-25,3,3,sweetpotato,improved,478.1,28.3,53.1,4.2,73.5,39.07,72.91,4796,10452.0
CSA-0104,Lake-region,2024-25,3,4,potato,improved,480.8,30.8,62.9,7.2,89.8,42.09,68.96,2845,12180.35
CSA-0105,Lake-region,2024-25,3,5,sweetpotato,improved,421.5,18.4,72.0,9.3,129.0,32.14,48.6,5569,9321.51
CSA-0106,Lake-region,2024-25,3,6,potato,improved,412.0,25.6,66.4,8.1,74.1,36.87,58.25,2158,9929.61
CSA-0107,Lake-region,2024-25,3,7,sweetpotato,improved,436.9,25.5,64.1,7.6,58.8,31.8,51.19,4464,9718.57
CSA-0108,Lake-region,2024-25,3,8,potato,improved,429.0,18.3,18.9,7.6,93.9,28.78,46.46,5268,9029.06
CSA-0109,Lake-region,2024-25,3,9,sweetpotato,improved,406.3,18.9,38.0,6.2,104.3,31.34,53.54,1267,7929.12
CSA-0110,Lake-region,2024-25,3,10,potato,improved,374.2,19.5,46.9,8.0,83.2,30.41,48.32,4203,8665.91
CSA-0111,Lake-region,2024-25,4,1,sweetpotato,farmer-practice,445.9,25.0,62.9,9.4,114.9,33.63,50.55,9408,8606.76
CSA-0112,Lake-region,2024-25,4,2,potato,farmer-practice,410.5,18.4,13.4,7.8,87.3,22.9,36.65,5772,7278.73
CSA-0113,Lake-region,2024-25,4,3,sweetpotato,farmer-practice,510.7,25.0,55.3,7.0,85.2,31.16,51.5,4243,9524.43
CSA-0114,Lake-region,2024-25,4,4,potato,farmer-practice,417.5,15.6,56.3,6.1,102.2,27.8,47.66,7178,8166.5
CSA-0115,Lake-region,2024-25,4,5,sweetpotato,farmer-practice,414.0,28.0,37.3,6.2,99.5,37.72,64.42,8742,10303.26
CSA-0116,Lake-region,2024-25,4,6,potato,farmer-practice,402.2,23.6,41.6,7.1,118.2,28.68,47.19,8423,8153.33
CSA-0117,Lake-region,2024-25,4,7,sweetpotato,farmer-practice,380.9,26.2,27.1,7.8,111.5,32.14,51.32,9734,9167.24
CSA-0118,Lake-region,2024-25,4,8,potato,farmer-practice,479.7,16.8,52.3,8.2,72.9,24.87,39.13,8140,7783.88
CSA-0119,Lake-region,2024-25,4,9,sweetpotato,farmer-practice,395.7,18.7,30.3,5.1,104.1,29.91,53.55,8019,8094.28
CSA-0120,Lake-region,2024-25,4,10,potato,farmer-practice,344.1,19.4,58.7,7.5,93.2,36.01,58.38,4674,9424.59
CSA-0121,Rift-highland,2024-25,1,1,sweetpotato,improved,315.8,13.7,56.5,8.9,65.9,27.48,51.72,5308,7175.02
CSA-0122,Rift-highland,2024-25,1,2,potato,improved,249.9,15.1,9.1,11.4,98.4,26.27,44.21,5177,7377.16
CSA-0123,Rift-highland,2024-25,1,3,sweetpotato,improved,256.5,20.9,51.6,8.2,95.1,34.02,66.2,9785,10588.38
CSA-0124,Rift-highland,2024-25,1,4,potato,improved,252.9,13.8,97.2,7.2,44.2,34.33,69.98,5660,10275.76
CSA-0125,Rift-highland,2024-25,1,5,sweetpotato,improved,307.7,21.8,0,7.4,112.6,28.57,57.74,6947,8774.4
CSA-0126,Rift-highland,2024-25,1,6,potato,improved,236.7,19.3,60.1,8.9,121.2,34.47,64.86,1145,10985.06
CSA-0127,Rift-highland,2024-25,1,7,sweetpotato,improved,313.0,26.3,38.0,10.4,115.6,42.74,75.12,8705,13255.25
CSA-0128,Rift-highland,2024-25,1,8,potato,improved,293.3,21.7,53.8,9.4,113.4,30.66,56.36,4571,8418.94
CSA-0129,Rift-highland,2024-25,1,9,sweetpotato,improved,280.6,20.5,89.8,9.7,89.0,37.2,67.29,3335,10700.2
CSA-0130,Rift-highland,2024-25,1,10,potato,improved,291.4,13.3,40.5,8.3,97.9,29.71,57.41,2362,8548.43
CSA-0131,Rift-highland,2024-25,2,1,sweetpotato,farmer-practice,287.2,24.3,40.6,7.9,56.3,35.91,70.91,1266,9411.93
CSA-0132,Rift-highland,2024-25,2,2,potato,farmer-practice,265.0,22.4,45.5,7.1,64.0,36.03,73.93,2168,10338.11
CSA-0133,Rift-highland,2024-25,2,3,sweetpotato,farmer-practice,350.8,19.8,77.6,8.7,162.4,33.72,64.04,2761,10479.59
CSA-0134,Rift-highland,2024-25,2,4,potato,farmer-practice,314.0,19.4,81.8,7.5,80.0,34.3,68.81,2363,9113.78
CSA-0135,Rift-highland,2024-25,2,5,sweetpotato,farmer-practice,408.4,20.1,51.6,7.0,108.1,30.75,63.41,6868,10065.92
CSA-0136,Rift-highland,2024-25,2,6,potato,farmer-practice,264.6,18.9,36.0,9.7,113.8,29.76,53.9,7785,8476.63
CSA-0137,Rift-highland,2024-25,2,7,sweetpotato,farmer-practice,362.5,24.7,38.1,6.8,130.4,35.88,74.67,6109,9978.65
CSA-0138,Rift-highland,2024-25,2,8,potato,farmer-practice,392.9,27.9,77.4,8.1,92.3,43.69,80,5778,13838.07
CSA-0139,Rift-highland,2024-25,2,9,sweetpotato,farmer-practice,247.3,13.6,64.1,9.6,111.5,30.56,55.65,8106,9312.95
CSA-0140,Rift-highland,2024-25,2,10,potato,farmer-practice,363.7,20.7,100,9.9,75.4,42.2,75.77,3750,12622.64
CSA-0141,Rift-highland,2024-25,3,1,sweetpotato,improved,313.7,17.1,55.3,8.6,60.7,28.77,54.82,7594,8148.37
CSA-0142,Rift-highland,2024-25,3,2,potato,improved,314.3,22.0,35.0,8.7,107.3,33.68,63.83,2402,10490.82
CSA-0143,Rift-highland,2024-25,3,3,sweetpotato,improved,350.6,20.7,8.9,6.7,103.8,27.55,57.83,4024,6956.81
CSA-0144,Rift-highland,2024-25,3,4,potato,improved,310.7,15.3,32.7,8.9,56.8,28.67,53.8,7279,7345.91
CSA-0145,Rift-highland,2024-25,3,5,sweetpotato,improved,365.6,29.2,15.3,11.3,79.2,30.72,51.88,8409,8765.51
CSA-0146,Rift-highland,2024-25,3,6,potato,improved,319.7,27.7,21.5,9.5,113.2,35.57,65.12,2576,9902.09
CSA-0147,Rift-highland,2024-25,3,7,sweetpotato,improved,305.8,14.6,56.6,10.3,92.8,36.76,64.88,2581,10497.72
CSA-0148,Rift-highland,2024-25,3,8,potato,improved,307.1,30.1,53.5,8.1,88.5,38.98,76.13,2893,12819.58
CSA-0149,Rift-highland,2024-25,3,9,sweetpotato,improved,327.8,26.3,63.4,6.6,109.0,38.74,80,2905,11308.79
CSA-0150,Rift-highland,2024-25,3,10,potato,improved,355.3,31.1,91.7,8.7,139.2,44.57,80,8167,12974.99
CSA-0151,Rift-highland,2024-25,4,1,sweetpotato,farmer-practice,338.5,15.4,78.9,6.5,116.0,29.4,62.29,4481,8474.38
CSA-0152,Rift-highland,2024-25,4,2,potato,farmer-practice,264.8,23.3,20.9,10.1,74.5,27.86,49.6,2093,7186.54
CSA-0153,Rift-highland,2024-25,4,3,sweetpotato,farmer-practice,356.1,24.6,46.9,9.0,123.5,36.39,68.0,8239,11150.76
CSA-0154,Rift-highland,2024-25,4,4,potato,farmer-practice,326.5,15.9,80.1,7.2,99.2,35.13,71.55,5956,11545.36
CSA-0155,Rift-highland,2024-25,4,5,sweetpotato,farmer-practice,329.7,22.6,43.2,8.8,93.4,35.12,66.24,3018,10493.92
CSA-0156,Rift-highland,2024-25,4,6,potato,farmer-practice,311.6,18.7,23.1,6.6,103.9,27.91,58.77,1424,7300.07
CSA-0157,Rift-highland,2024-25,4,7,sweetpotato,farmer-practice,304.3,30.2,77.8,9.4,89.8,43.53,79.77,4400,13504.97
CSA-0158,Rift-highland,2024-25,4,8,potato,farmer-practice,278.7,15.8,19.2,10.0,125.8,23.33,41.58,5187,6534.53
CSA-0159,Rift-highland,2024-25,4,9,sweetpotato,farmer-practice,325.0,24.0,23.6,8.3,97.0,30.84,59.62,2680,8661.94
CSA-0160,Rift-highland,2024-25,4,10,potato,farmer-practice,355.9,24.9,61.4,8.8,74.7,32.93,62.25,2900,9962.77
CSA-0161,Andes-high,2025-26,1,1,sweetpotato,improved,599.1,16.7,85.5,5.1,78.6,30.3,41.11,5600,9277.23
CSA-0162,Andes-high,2025-26,1,2,potato,improved,635.6,13.8,56.5,3.9,82.8,27.41,38.7,7554,7557.2
CSA-0163,Andes-high,2025-26,1,3,sweetpotato,improved,641.2,26.8,33.9,3.5,83.4,32.48,46.5,4104,9798.77
CSA-0164,Andes-high,2025-26,1,4,potato,improved,517.0,18.1,60.2,6.0,118.8,25.49,33.54,8663,7158.22
CSA-0165,Andes-high,2025-26,1,5,sweetpotato,improved,600.7,20.7,45.0,2.7,81.1,29.84,44.07,4248,9479.69
CSA-0166,Andes-high,2025-26,1,6,potato,improved,587.6,25.2,0,4.8,112.5,29.03,39.7,5176,7798.28
CSA-0167,Andes-high,2025-26,1,7,sweetpotato,improved,596.5,27.4,22.4,6.4,71.2,30.63,39.74,9639,8945.94
CSA-0168,Andes-high,2025-26,1,8,potato,improved,578.8,15.1,31.2,3.2,137.2,22.58,32.68,2824,6053.37
CSA-0169,Andes-high,2025-26,1,9,sweetpotato,improved,653.5,18.7,58.1,6.5,42.6,27.66,35.83,8160,8417.4
CSA-0170,Andes-high,2025-26,1,10,potato,improved,608.5,17.8,59.7,5.3,77.4,32.94,44.32,7376,9434.75
CSA-0171,Andes-high,2025-26,2,1,sweetpotato,farmer-practice,604.5,17.0,57.3,2.9,44.8,28.63,41.98,2535,8187.36
CSA-0172,Andes-high,2025-26,2,2,potato,farmer-practice,621.2,32.2,44.3,3.7,130.4,35.12,49.91,9436,10030.74
CSA-0173,Andes-high,2025-26,2,3,sweetpotato,farmer-practice,590.0,26.8,0,5.5,89.7,23.37,31.27,9231,6512.31
CSA-0174,Andes-high,2025-26,2,4,potato,farmer-practice,630.7,25.1,82.2,4.3,77.1,39.34,54.84,4165,12731.66
CSA-0175,Andes-high,2025-26,2,5,sweetpotato,farmer-practice,706.6,25.4,36.9,4.1,96.7,31.1,43.72,4750,10222.26
CSA-0176,Andes-high,2025-26,2,6,potato,farmer-practice,724.6,22.8,64.6,6.1,96.3,32.5,42.65,3443,9971.04
CSA-0177,Andes-high,2025-26,2,7,sweetpotato,farmer-practice,675.0,24.4,83.5,2.5,87.7,37.55,55.75,9752,9585.46
CSA-0178,Andes-high,2025-26,2,8,potato,farmer-practice,636.7,18.3,27.4,4.4,57.4,29.07,40.41,1019,7610.78
CSA-0179,Andes-high,2025-26,2,9,sweetpotato,farmer-practice,621.4,23.7,46.6,2.4,96.7,30.41,45.44,7111,7863.58
CSA-0180,Andes-high,2025-26,2,10,potato,farmer-practice,607.0,32.2,41.8,4.6,108.6,32.61,45.03,2875,9490.68
CSA-0181,Andes-high,2025-26,3,1,sweetpotato,improved,679.2,25.0,82.4,3.0,118.6,35.09,51.22,6409,10835.52
CSA-0182,Andes-high,2025-26,3,2,potato,improved,660.5,20.3,42.9,3.5,80.6,28.15,40.42,7746,8403.63
CSA-0183,Andes-high,2025-26,3,3,sweetpotato,improved,638.5,20.6,14.6,4.2,141.0,30.9,43.24,4586,9791.14
CSA-0184,Andes-high,2025-26,3,4,potato,improved,613.6,19.8,17.5,5.1,99.3,26.06,35.35,2116,7032.57
CSA-0185,Andes-high,2025-26,3,5,sweetpotato,improved,625.7,20.5,64.6,2.9,106.5,32.53,47.75,8516,9800.33
CSA-0186,Andes-high,2025-26,3,6,potato,improved,608.2,26.1,17.5,6.7,109.8,31.17,40.1,9192,8663.6
CSA-0187,Andes-high,2025-26,3,7,sweetpotato,improved,592.6,20.9,26.5,4.6,126.9,26.87,37.11,9215,8394.45
CSA-0188,Andes-high,2025-26,3,8,potato,improved,631.1,16.9,48.9,3.5,116.9,24.72,35.47,6100,8023.2
CSA-0189,Andes-high,2025-26,3,9,sweetpotato,improved,639.4,16.7,34.3,5.9,78.2,24.71,32.6,5345,8052.02
CSA-0190,Andes-high,2025-26,3,10,potato,improved,620.4,17.9,47.8,6.6,90.5,25.24,32.6,2575,7184.19
CSA-0191,Andes-high,2025-26,4,1,sweetpotato,farmer-practice,586.0,27.7,68.3,4.0,54.5,40.55,57.18,4757,11421.34
CSA-0192,Andes-high,2025-26,4,2,potato,farmer-practice,648.8,23.2,24.7,3.5,140.4,31.82,45.68,3650,9179.32
CSA-0193,Andes-high,2025-26,4,3,sweetpotato,farmer-practice,592.8,24.7,27.9,3.9,84.9,29.91,42.21,4429,9559.62
CSA-0194,Andes-high,2025-26,4,4,potato,farmer-practice,622.5,22.5,46.9,3.1,103.5,34.0,49.46,7094,11088.35
CSA-0195,Andes-high,2025-26,4,5,sweetpotato,farmer-practice,632.7,21.7,78.3,4.3,129.9,32.12,44.8,9738,9741.37
CSA-0196,Andes-high,2025-26,4,6,potato,farmer-practice,552.8,25.7,56.9,6.3,104.9,35.14,45.81,5195,11166.23
CSA-0197,Andes-high,2025-26,4,7,sweetpotato,farmer-practice,617.0,24.6,3.5,3.4,42.4,24.2,34.8,6626,7709.28
CSA-0198,Andes-high,2025-26,4,8,potato,farmer-practice,638.8,25.4,68.1,2.0,72.8,33.03,49.95,5871,8446.7
CSA-0199,Andes-high,2025-26,4,9,sweetpotato,farmer-practice,648.0,23.3,82.1,6.0,131.5,34.75,45.73,9404,11217.97
CSA-0200,Andes-high,2025-26,4,10,potato,farmer-practice,601.2,11.8,38.6,4.9,64.8,23.67,32.35,1974,6890.85
CSA-0201,Coast-dry,2025-26,1,1,sweetpotato,improved,41.0,19.5,23.0,10.0,112.2,33.73,80,3521,10739.8
CSA-0202,Coast-dry,2025-26,1,2,potato,improved,97.2,19.5,72.4,7.7,118.8,44.42,80,1199,11614.93
