record_id,country,district_code,survey_round,cluster,enumerator_team,respondent_gender,respondent_age_years,education_band,extension_contacts_year,market_access_score,smartphone_owned,annual_farm_income_usd,technology_adopted,questionnaire_version_digit,post_adoption_sales_usd
VCA-0043,Kenya,D-KE-04,2026-baseline,CL-14,TEAM-2,man,22,secondary,8,5,0,7638.61,1,2194,2345.45
VCA-0044,Uganda,D-UG-05,2026-baseline,CL-15,TEAM-3,another/prefer-not-to-say,32,post-secondary,0,17.9,1,1919.26,1,8480,1153.24
VCA-0045,Peru,D-PE-06,2026-baseline,CL-16,TEAM-4,woman,44,primary,5,80.6,0,1433.57,1,5545,492.99
VCA-0046,Kenya,D-KE-07,2026-baseline,CL-17,TEAM-5,man,62,secondary,5,26.7,1,2342.29,1,1495,1188.45
VCA-0047,Uganda,D-UG-08,2026-baseline,CL-18,TEAM-6,another/prefer-not-to-say,28,post-secondary,7,83.4,1,4451.95,1,6439,1547.66
VCA-0048,Peru,D-PE-01,2026-baseline,CL-19,TEAM-1,woman,45,primary,7,34.3,0,6479.03,0,8174,0.0
VCA-0049,Kenya,D-KE-02,2026-baseline,CL-20,TEAM-2,man,36,secondary,0,85.2,0,2403.38,1,3197,1063.14
VCA-0050,Uganda,D-UG-03,2026-baseline,CL-21,TEAM-3,another/prefer-not-to-say,39,post-secondary,2,48.1,1,6224.77,0,1132,0.0
VCA-0051,Peru,D-PE-04,2026-baseline,CL-22,TEAM-4,woman,49,primary,0,79.3,0,4068.21,0,4483,0.0
VCA-0052,Kenya,D-KE-05,2026-baseline,CL-23,TEAM-5,man,26,secondary,5,25.2,1,3630.99,0,8400,0.0
VCA-0053,Uganda,D-UG-06,2026-baseline,CL-24,TEAM-6,another/prefer-not-to-say,51,post-secondary,1,48.8,1,4701.96,1,6802,2079.21
VCA-0054,Peru,D-PE-07,2026-baseline,CL-25,TEAM-1,woman,66,primary,8,44.5,0,2743.96,0,8665,0.0
VCA-0055,Kenya,D-KE-08,2026-baseline,CL-26,TEAM-2,man,41,secondary,0,49.7,1,3937.34,1,7900,2149.31
VCA-0056,Uganda,D-UG-01,2026-baseline,CL-27,TEAM-3,another/prefer-not-to-say,63,post-secondary,8,35.2,1,3601.0,1,9476,1291.29
VCA-0057,Peru,D-PE-02,2026-baseline,CL-28,TEAM-4,woman,66,primary,7,75.0,0,5530.34,1,9445,3127.64
VCA-0058,Kenya,D-KE-03,2026-baseline,CL-29,TEAM-5,man,43,secondary,5,49.8,1,2696.75,0,4932,0.0
VCA-0059,Uganda,D-UG-04,2026-baseline,CL-30,TEAM-6,another/prefer-not-to-say,22,post-secondary,5,42.5,1,4196.26,1,4109,1499.57
VCA-0060,Peru,D-PE-05,2026-baseline,CL-01,TEAM-1,woman,23,primary,4,64.2,0,1977.16,1,2728,785.86
VCA-0061,Kenya,D-KE-06,2026-baseline,CL-02,TEAM-2,man,53,secondary,1,63.8,1,4660.67,0,2201,0.0
VCA-0062,Uganda,D-UG-07,2026-baseline,CL-03,TEAM-3,another/prefer-not-to-say,40,post-secondary,2,34.9,1,3769.16,1,5479,1751.67
VCA-0063,Peru,D-PE-08,2026-baseline,CL-04,TEAM-4,woman,65,primary,0,20.4,0,2691.75,0,3933,0.0
VCA-0064,Kenya,D-KE-01,2026-baseline,CL-05,TEAM-5,man,32,secondary,7,26.8,0,10015.16,1,3979,4496.47
VCA-0065,Uganda,D-UG-02,2026-baseline,CL-06,TEAM-6,another/prefer-not-to-say,63,post-secondary,3,35.7,1,3082.41,1,7603,970.38
VCA-0066,Peru,D-PE-03,2026-baseline,CL-07,TEAM-1,woman,63,primary,1,62.2,0,4534.32,0,3610,0.0
VCA-0067,Kenya,D-KE-04,2026-baseline,CL-08,TEAM-2,man,70,secondary,1,63.9,0,4051.28,1,5918,1794.77
VCA-0068,Uganda,D-UG-05,2026-baseline,CL-09,TEAM-3,another/prefer-not-to-say,30,post-secondary,8,98.5,0,4828.74,1,5053,1503.16
VCA-0069,Peru,D-PE-06,2026-baseline,CL-10,TEAM-4,woman,62,primary,7,57.0,0,2742.29,1,8790,1445.99
VCA-0070,Kenya,D-KE-07,2026-baseline,CL-11,TEAM-5,man,68,secondary,0,40.2,1,6255.98,0,8740,0.0
VCA-0071,Uganda,D-UG-08,2026-baseline,CL-12,TEAM-6,another/prefer-not-to-say,71,post-secondary,0,35.6,1,3344.17,1,6446,1694.63
VCA-0072,Peru,D-PE-01,2026-baseline,CL-13,TEAM-1,woman,21,primary,8,65.3,0,4303.27,1,7016,1861.55
VCA-0073,Kenya,D-KE-02,2026-baseline,CL-14,TEAM-2,man,37,secondary,4,50.5,0,4130.35,0,4593,0.0
VCA-0074,Uganda,D-UG-03,2026-baseline,CL-15,TEAM-3,another/prefer-not-to-say,47,post-secondary,2,78.7,1,2785.4,1,5509,1223.3
VCA-0075,Peru,D-PE-04,2026-baseline,CL-16,TEAM-4,woman,51,primary,1,43.0,0,2613.19,0,7237,0.0
VCA-0076,Kenya,D-KE-05,2026-baseline,CL-17,TEAM-5,man,20,secondary,5,40.4,1,2738.81,0,4370,0.0
VCA-0077,Uganda,D-UG-06,2026-baseline,CL-18,TEAM-6,another/prefer-not-to-say,41,post-secondary,1,25.4,1,5043.45,0,8762,0.0
VCA-0078,Peru,D-PE-07,2026-baseline,CL-19,TEAM-1,woman,51,primary,0,42.3,0,4038.87,0,1312,0.0
VCA-0079,Kenya,D-KE-08,2026-baseline,CL-20,TEAM-2,man,28,secondary,0,5,1,1770.35,0,2880,0.0
VCA-0080,Uganda,D-UG-01,2026-baseline,CL-21,TEAM-3,another/prefer-not-to-say,46,post-secondary,2,54.0,1,2912.69,1,9068,1628.37
VCA-0081,Peru,D-PE-02,2026-baseline,CL-22,TEAM-4,woman,38,primary,6,25.0,0,2158.13,0,7156,0.0
VCA-0082,Kenya,D-KE-03,2026-baseline,CL-23,TEAM-5,man,25,secondary,6,49.8,0,1793.05,0,3908,0.0
VCA-0083,Uganda,D-UG-04,2026-baseline,CL-24,TEAM-6,another/prefer-not-to-say,63,post-secondary,8,37.5,1,1512.37,1,2726,516.05
VCA-0084,Peru,D-PE-05,2026-baseline,CL-25,TEAM-1,woman,33,primary,3,47.9,0,2582.08,0,7672,0.0
VCA-0085,Kenya,D-KE-06,2026-baseline,CL-26,TEAM-2,man,65,secondary,5,33.4,0,3528.09,1,1378,1768.22
VCA-0086,Uganda,D-UG-07,2026-baseline,CL-27,TEAM-3,another/prefer-not-to-say,37,post-secondary,7,32.2,1,3392.75,1,3305,1352.64
VCA-0087,Peru,D-PE-08,2026-baseline,CL-28,TEAM-4,woman,45,primary,7,39.5,0,3258.36,0,9930,0.0
VCA-0088,Kenya,D-KE-01,2026-baseline,CL-29,TEAM-5,man,44,secondary,4,46.8,1,3985.24,1,1343,1375.55
VCA-0089,Uganda,D-UG-02,2026-baseline,CL-30,TEAM-6,another/prefer-not-to-say,48,post-secondary,1,62.7,1,4560.66,0,5243,0.0
VCA-0090,Peru,D-PE-03,2026-baseline,CL-01,TEAM-1,woman,19,primary,0,56.2,0,6096.23,0,5438,0.0
VCA-0091,Kenya,D-KE-04,2026-baseline,CL-02,TEAM-2,man,56,secondary,2,51.2,0,3215.34,1,7451,1629.66
VCA-0092,Uganda,D-UG-05,2026-baseline,CL-03,TEAM-3,another/prefer-not-to-say,21,post-secondary,2,37.0,1,1268.96,1,5895,398.52
VCA-0093,Peru,D-PE-06,2026-baseline,CL-04,TEAM-4,woman,39,primary,2,29.5,0,3310.96,0,2451,0.0
VCA-0094,Kenya,D-KE-07,2026-baseline,CL-05,TEAM-5,man,54,secondary,5,55.3,0,7394.85,0,1913,0.0
VCA-0095,Uganda,D-UG-08,2026-baseline,CL-06,TEAM-6,another/prefer-not-to-say,29,post-secondary,1,45.1,1,2151.69,1,4068,974.9
VCA-0096,Peru,D-PE-01,2026-baseline,CL-07,TEAM-1,woman,34,primary,5,75.6,0,2313.54,1,1104,683.17
VCA-0097,Kenya,D-KE-02,2026-baseline,CL-08,TEAM-2,man,22,secondary,5,61.3,0,3915.02,1,8891,1325.53
VCA-0098,Uganda,D-UG-03,2026-baseline,CL-09,TEAM-3,another/prefer-not-to-say,43,post-secondary,3,76.3,1,5845.15,1,3747,2370.5
VCA-0099,Peru,D-PE-04,2026-baseline,CL-10,TEAM-4,woman,61,primary,5,39.0,0,3284.07,0,8360,0.0
VCA-0100,Kenya,D-KE-05,2026-baseline,CL-11,TEAM-5,man,27,secondary,2,86.7,1,4003.61,1,9866,1544.09
VCA-0101,Uganda,D-UG-06,2026-baseline,CL-12,TEAM-6,another/prefer-not-to-say,64,post-secondary,5,54.1,1,5185.18,1,8365,1921.64
VCA-0102,Peru,D-PE-07,2026-baseline,CL-13,TEAM-1,woman,28,primary,0,86.4,0,4423.07,0,5438,0.0
VCA-0103,Kenya,D-KE-08,2026-baseline,CL-14,TEAM-2,man,62,secondary,8,75.2,0,6460.12,1,8392,3709.34
VCA-0104,Uganda,D-UG-01,2026-baseline,CL-15,TEAM-3,another/prefer-not-to-say,60,post-secondary,8,59.4,1,1863.18,0,6443,0.0
VCA-0105,Peru,D-PE-02,2026-baseline,CL-16,TEAM-4,woman,44,primary,1,64.8,0,4666.94,0,4985,0.0
VCA-0106,Kenya,D-KE-03,2026-baseline,CL-17,TEAM-5,man,32,secondary,7,86.6,0,4774.56,1,9626,2486.53
VCA-0107,Uganda,D-UG-04,2026-baseline,CL-18,TEAM-6,another/prefer-not-to-say,40,post-secondary,6,33.5,1,4481.3,1,7271,2023.08
VCA-0108,Peru,D-PE-05,2026-baseline,CL-19,TEAM-1,woman,46,primary,7,66.3,0,2464.37,1,1981,1103.01
VCA-0109,Kenya,D-KE-06,2026-baseline,CL-20,TEAM-2,man,36,secondary,6,73.6,1,4345.94,1,5668,2639.04
VCA-0110,Uganda,D-UG-07,2026-baseline,CL-21,TEAM-3,another/prefer-not-to-say,40,post-secondary,8,79.4,1,4036.57,1,2000,1765.64
VCA-0111,Peru,D-PE-08,2026-baseline,CL-22,TEAM-4,woman,58,primary,5,31.7,0,4020.39,0,8270,0.0
VCA-0112,Kenya,D-KE-01,2026-baseline,CL-23,TEAM-5,man,22,secondary,0,14.8,0,4523.31,0,8376,0.0
VCA-0113,Uganda,D-UG-02,2026-baseline,CL-24,TEAM-6,another/prefer-not-to-say,49,post-secondary,2,33.9,1,7564.73,1,6049,4212.39
VCA-0114,Peru,D-PE-03,2026-baseline,CL-25,TEAM-1,woman,22,primary,8,75.8,0,5953.24,1,7155,2708.2
VCA-0115,Kenya,D-KE-04,2026-baseline,CL-26,TEAM-2,man,59,secondary,8,67.4,0,2910.63,1,3229,1104.59
VCA-0116,Uganda,D-UG-05,2026-baseline,CL-27,TEAM-3,another/prefer-not-to-say,58,post-secondary,8,38.2,1,4463.91,1,5999,2557.23
VCA-0117,Peru,D-PE-06,2026-baseline,CL-28,TEAM-4,woman,59,primary,1,26.3,0,5115.67,0,8199,0.0
VCA-0118,Kenya,D-KE-07,2026-baseline,CL-29,TEAM-5,man,48,secondary,0,50.7,0,6662.98,1,9395,3117.55
VCA-0119,Uganda,D-UG-08,2026-baseline,CL-30,TEAM-6,another/prefer-not-to-say,22,post-secondary,4,75.4,1,4962.3,1,7617,2551.84
VCA-0120,Peru,D-PE-01,2026-baseline,CL-01,TEAM-1,woman,69,primary,6,51.3,1,3033.02,1,5649,1281.05
VCA-0121,Kenya,D-KE-02,2026-baseline,CL-02,TEAM-2,man,66,secondary,2,10.3,1,6637.45,0,7886,0.0
VCA-0122,Uganda,D-UG-03,2026-baseline,CL-03,TEAM-3,another/prefer-not-to-say,21,post-secondary,0,48.2,1,6200.23,1,7142,3300.73
VCA-0123,Peru,D-PE-04,2026-baseline,CL-04,TEAM-4,woman,54,primary,4,23.4,0,2857.44,0,3991,0.0
VCA-0124,Kenya,D-KE-05,2026-baseline,CL-05,TEAM-5,man,70,secondary,6,32.8,1,1910.87,1,3320,575.18
VCA-0125,Uganda,D-UG-06,2026-baseline,CL-06,TEAM-6,another/prefer-not-to-say,24,post-secondary,5,46.4,1,4732.22,1,8167,2632.48
VCA-0126,Peru,D-PE-07,2026-baseline,CL-07,TEAM-1,woman,63,primary,0,49.1,0,3464.28,0,4343,0.0
VCA-0127,Kenya,D-KE-08,2026-baseline,CL-08,TEAM-2,man,34,secondary,3,63.1,0,8350.36,1,6318,4724.8
VCA-0128,Uganda,D-UG-01,2026-baseline,CL-09,TEAM-3,another/prefer-not-to-say,38,post-secondary,4,68.2,1,5871.67,1,8060,2387.5
VCA-0129,Peru,D-PE-02,2026-baseline,CL-10,TEAM-4,woman,41,primary,0,58.9,0,4090.72,0,1815,0.0
VCA-0130,Kenya,D-KE-03,2026-baseline,CL-11,TEAM-5,man,27,secondary,6,38.5,1,8032.55,1,6737,2590.99
VCA-0131,Uganda,D-UG-04,2026-baseline,CL-12,TEAM-6,another/prefer-not-to-say,37,post-secondary,6,71.1,0,3798.1,1,9643,1080.21
VCA-0132,Peru,D-PE-05,2026-baseline,CL-13,TEAM-1,woman,70,primary,8,56.6,0,5421.56,1,5702,3164.47
VCA-0133,Kenya,D-KE-06,2026-baseline,CL-14,TEAM-2,man,56,secondary,0,49.7,1,10291.7,1,2775,3134.49
VCA-0134,Uganda,D-UG-07,2026-baseline,CL-15,TEAM-3,another/prefer-not-to-say,27,post-secondary,0,31.2,1,3787.5,0,2872,0.0
VCA-0135,Peru,D-PE-08,2026-baseline,CL-16,TEAM-4,woman,24,primary,1,71.4,0,6599.72,0,1459,0.0
VCA-0136,Kenya,D-KE-01,2026-baseline,CL-17,TEAM-5,man,62,secondary,1,53.3,1,7969.54,1,6016,2934.46
VCA-0137,Uganda,D-UG-02,2026-baseline,CL-18,TEAM-6,another/prefer-not-to-say,36,post-secondary,6,50.5,1,3248.31,1,3663,980.25
VCA-0138,Peru,D-PE-03,2026-baseline,CL-19,TEAM-1,woman,32,primary,0,33.4,0,2748.09,0,7367,0.0
VCA-0139,Kenya,D-KE-04,2026-baseline,CL-20,TEAM-2,man,24,secondary,0,65.7,0,4364.66,0,6725,0.0
VCA-0140,Uganda,D-UG-05,2026-baseline,CL-21,TEAM-3,another/prefer-not-to-say,20,post-secondary,5,37.0,1,1597.33,0,3655,0.0
VCA-0141,Peru,D-PE-06,2026-baseline,CL-22,TEAM-4,woman,43,primary,5,59.6,0,2889.8,0,8887,0.0
VCA-0142,Kenya,D-KE-07,2026-baseline,CL-23,TEAM-5,man,65,secondary,1,58.0,0,7266.77,1,9088,2444.12
VCA-0143,Uganda,D-UG-08,2026-baseline,CL-24,TEAM-6,another/prefer-not-to-say,45,post-secondary,1,79.1,1,3261.77,1,8345,1412.1
VCA-0144,Peru,D-PE-01,2026-baseline,CL-25,TEAM-1,woman,31,primary,0,58.2,0,1718.96,0,9842,0.0
VCA-0145,Kenya,D-KE-02,2026-baseline,CL-26,TEAM-2,man,33,secondary,1,40.2,0,5644.38,0,5918,0.0
VCA-0146,Uganda,D-UG-03,2026-baseline,CL-27,TEAM-3,another/prefer-not-to-say,21,post-secondary,1,63.7,1,5775.63,0,7340,0.0
VCA-0147,Peru,D-PE-04,2026-baseline,CL-28,TEAM-4,woman,47,primary,8,74.9,0,1169.24,1,3414,673.9
VCA-0148,Kenya,D-KE-05,2026-baseline,CL-29,TEAM-5,man,43,secondary,1,63.0,0,3079.84,1,2853,905.65
VCA-0149,Uganda,D-UG-06,2026-baseline,CL-30,TEAM-6,another/prefer-not-to-say,25,post-secondary,8,46.2,1,4950.01,1,3222,1537.89
VCA-0150,Peru,D-PE-07,2026-baseline,CL-01,TEAM-1,woman,55,primary,3,71.4,0,2467.36,1,8200,749.81
VCA-0151,Kenya,D-KE-08,2026-baseline,CL-02,TEAM-2,man,70,secondary,0,82.5,1,1791.52,1,7560,534.55
VCA-0152,Uganda,D-UG-01,2026-baseline,CL-03,TEAM-3,another/prefer-not-to-say,56,post-secondary,0,49.5,1,3709.39,0,1847,0.0
VCA-0153,Peru,D-PE-02,2026-baseline,CL-04,TEAM-4,woman,22,primary,4,47.2,0,4978.09,0,2002,0.0
VCA-0154,Kenya,D-KE-03,2026-baseline,CL-05,TEAM-5,man,34,secondary,4,57.2,0,1994.67,1,6909,1082.31
VCA-0155,Uganda,D-UG-04,2026-baseline,CL-06,TEAM-6,another/prefer-not-to-say,50,post-secondary,0,48.5,1,5023.19,0,5302,0.0
VCA-0156,Peru,D-PE-05,2026-baseline,CL-07,TEAM-1,woman,69,primary,3,40.7,0,3171.18,0,8861,0.0
VCA-0157,Kenya,D-KE-06,2026-baseline,CL-08,TEAM-2,man,31,secondary,7,97.5,1,2255.29,1,9693,964.06
VCA-0158,Uganda,D-UG-07,2026-baseline,CL-09,TEAM-3,another/prefer-not-to-say,52,post-secondary,7,24.6,1,6028.84,0,3053,0.0
VCA-0159,Peru,D-PE-08,2026-baseline,CL-10,TEAM-4,woman,39,primary,0,66.2,0,2547.29,1,5719,1552.84
VCA-0160,Kenya,D-KE-01,2026-baseline,CL-11,TEAM-5,man,69,secondary,8,50.8,1,2649.45,1,5291,1571.97
VCA-0161,Uganda,D-UG-02,2026-baseline,CL-12,TEAM-6,another/prefer-not-to-say,19,post-secondary,2,12.6,1,8735.69,0,1742,0.0
VCA-0162,Peru,D-PE-03,2026-baseline,CL-13,TEAM-1,woman,41,primary,7,48.8,0,4017.88,1,6102,1938.46
VCA-0163,Kenya,D-KE-04,2026-baseline,CL-14,TEAM-2,man,42,secondary,5,44.3,1,3570.19,1,4221,1992.25
VCA-0164,Uganda,D-UG-05,2026-baseline,CL-15,TEAM-3,another/prefer-not-to-say,38,post-secondary,1,83.2,1,4039.53,1,6755,1888.84
VCA-0165,Peru,D-PE-06,2026-baseline,CL-16,TEAM-4,woman,37,primary,8,35.4,1,2058.51,0,8546,0.0
VCA-0166,Kenya,D-KE-07,2026-baseline,CL-17,TEAM-5,man,57,secondary,3,39.0,1,2159.89,1,2907,1225.98
VCA-0167,Uganda,D-UG-08,2026-baseline,CL-18,TEAM-6,another/prefer-not-to-say,46,post-secondary,8,93.0,1,2714.3,1,3335,1475.68
VCA-0168,Peru,D-PE-01,2026-baseline,CL-19,TEAM-1,woman,71,primary,5,61.7,0,2401.93,0,6013,0.0
VCA-0169,Kenya,D-KE-02,2026-baseline,CL-20,TEAM-2,man,34,secondary,6,65.6,0,4801.43,1,3967,2132.17
VCA-0170,Uganda,D-UG-03,2026-baseline,CL-21,TEAM-3,another/prefer-not-to-say,69,post-secondary,2,17.6,1,1851.0,0,7192,0.0
VCA-0171,Peru,D-PE-04,2026-baseline,CL-22,TEAM-4,woman,50,primary,3,63.7,1,3826.21,1,7342,1672.4
VCA-0172,Kenya,D-KE-05,2026-baseline,CL-23,TEAM-5,man,66,secondary,5,50.4,1,3579.41,0,8384,0.0
VCA-0173,Uganda,D-UG-06,2026-baseline,CL-24,TEAM-6,another/prefer-not-to-say,20,post-secondary,4,92.2,1,3173.82,1,9534,991.94
VCA-0174,Peru,D-PE-07,2026-baseline,CL-25,TEAM-1,woman,30,primary,6,50.7,0,3285.16,1,5592,1950.54
VCA-0175,Kenya,D-KE-08,2026-baseline,CL-26,TEAM-2,man,72,secondary,6,38.6,1,3999.27,1,3522,1656.42
VCA-0176,Uganda,D-UG-01,2026-baseline,CL-27,TEAM-3,another/prefer-not-to-say,36,post-secondary,2,76.7,1,3246.17,0,2677,0.0
VCA-0177,Peru,D-PE-02,2026-baseline,CL-28,TEAM-4,woman,21,primary,5,25.0,0,3765.93,0,6829,0.0
VCA-0178,Kenya,D-KE-03,2026-baseline,CL-29,TEAM-5,man,32,secondary,5,60.2,0,3810.12,1,5840,1391.77
VCA-0179,Uganda,D-UG-04,2026-baseline,CL-30,TEAM-6,another/prefer-not-to-say,70,post-secondary,2,46.2,1,3077.07,1,2447,1443.07
VCA-0180,Peru,D-PE-05,2026-baseline,CL-01,TEAM-1,woman,47,primary,1,75.2,0,3289.13,1,8563,1335.24
VCA-0181,Kenya,D-KE-06,2026-baseline,CL-02,TEAM-2,man,60,secondary,6,78.3,1,4051.94,1,1067,1135.72
VCA-0182,Uganda,D-UG-07,2026-baseline,CL-03,TEAM-3,another/prefer-not-to-say,49,post-secondary,6,5,1,7859.16,1,1801,3027.52
VCA-0183,Peru,D-PE-08,2026-baseline,CL-04,TEAM-4,woman,22,primary,4,38.4,0,2032.99,0,3418,0.0
VCA-0184,Kenya,D-KE-01,2026-baseline,CL-05,TEAM-5,man,61,secondary,5,68.6,1,2623.54,1,6260,1190.52
VCA-0185,Uganda,D-UG-02,2026-baseline,CL-06,TEAM-6,another/prefer-not-to-say,63,post-secondary,2,41.6,1,6101.4,0,3097,0.0
VCA-0186,Peru,D-PE-03,2026-baseline,CL-07,TEAM-1,woman,54,primary,6,69.7,0,7386.79,0,5763,0.0
VCA-0187,Kenya,D-KE-04,2026-baseline,CL-08,TEAM-2,man,37,secondary,5,48.3,1,2826.44,1,5460,1562.26
VCA-0188,Uganda,D-UG-05,2026-baseline,CL-09,TEAM-3,another/prefer-not-to-say,33,post-secondary,7,42.0,1,3639.91,1,9752,2219.98
VCA-0189,Peru,D-PE-06,2026-baseline,CL-10,TEAM-4,woman,60,primary,7,88.5,0,2039.94,1,2144,1003.94
VCA-0190,Kenya,D-KE-07,2026-baseline,CL-11,TEAM-5,man,59,secondary,2,45.2,0,3962.23,1,3373,1834.54
VCA-0191,Uganda,D-UG-08,2026-baseline,CL-12,TEAM-6,another/prefer-not-to-say,31,post-secondary,2,21.5,1,3528.39,1,2858,2062.03
