record_id,community_code,region,survey_round,sampling_visit,households_interviewed,altitude_band,altitude_m,market_distance_km,morphotype_id,local_variety_name,skin_primary_color,main_use,seed_exchange_events_year,number_of_reported_uses,years_reported_in_community,observed_next_season,interviewer_badge_number,next_season_observed_copy
NPB-0013,COM-01,Cusco,2025-baseline,4,14,low,2473.0,10.7,MOR-SYN-033,Peruanita,cream,market,7,5,16,1,3670,1
NPB-0014,COM-01,Cusco,2025-baseline,3,16,low,2395.8,9.0,MOR-SYN-041,Qeqorani,purple,chuño,2,4,55,1,8879,1
NPB-0015,COM-01,Cusco,2025-baseline,4,18,low,2473.6,11.5,MOR-SYN-017,Sani,yellow,soup,1,4,26,1,9222,1
NPB-0016,COM-01,Cusco,2025-baseline,2,26,low,2345.4,12.5,MOR-SYN-023,Peruanita,cream,market,2,4,57,1,6114,1
NPB-0017,COM-01,Cusco,2025-baseline,4,36,low,2465.4,5.5,MOR-SYN-036,Amarilla,purple,chuño,3,5,41,1,8822,1
NPB-0018,COM-01,Cusco,2025-baseline,4,21,low,2425.3,12.7,MOR-SYN-021,Qeqorani,purple,chuño,7,4,22,1,1434,1
NPB-0019,COM-01,Cusco,2025-baseline,4,27,low,2379.4,2.7,MOR-SYN-035,Muru,red,boiling,3,4,44,1,6190,1
NPB-0020,COM-01,Cusco,2025-baseline,2,13,low,2398.6,8.6,MOR-SYN-004,Azul,multicolour,ceremonial,5,5,67,1,2188,1
NPB-0021,COM-01,Cusco,2025-baseline,2,37,low,2494.5,9.9,MOR-SYN-056,Amarilla,purple,chuño,4,1,46,0,3632,0
NPB-0022,COM-01,Cusco,2025-baseline,2,27,low,2439.3,2.8,MOR-SYN-012,Ccompis,yellow,soup,2,3,31,0,4794,0
NPB-0023,COM-01,Cusco,2025-baseline,3,32,low,2433.7,12.3,MOR-SYN-022,Ccompis,yellow,soup,2,3,52,0,9107,0
NPB-0024,COM-01,Cusco,2025-baseline,2,15,low,2447.1,6.2,MOR-SYN-008,Wenccos,cream,market,8,3,10,1,7234,1
NPB-0025,COM-02,Puno,2025-baseline,4,15,mid,3179.8,55.6,MOR-SYN-014,Muru,multicolour,ceremonial,3,1,14,0,3410,0
NPB-0026,COM-02,Puno,2025-baseline,1,15,mid,3168.4,64.1,MOR-SYN-011,Ccompis,purple,chuño,6,5,45,1,2522,1
NPB-0027,COM-02,Puno,2025-baseline,2,23,mid,3152.2,58.1,MOR-SYN-013,Azul,cream,market,7,5,54,1,5622,1
NPB-0028,COM-02,Puno,2025-baseline,1,21,mid,3173.3,56.3,MOR-SYN-033,Azul,cream,market,3,2,12,1,7954,1
NPB-0029,COM-02,Puno,2025-baseline,2,35,mid,3169.1,55.6,MOR-SYN-026,Sani,purple,chuño,1,4,8,1,9591,1
NPB-0030,COM-02,Puno,2025-baseline,2,13,mid,3182.0,58.4,MOR-SYN-057,Wenccos,yellow,soup,3,3,8,1,7999,1
NPB-0031,COM-02,Puno,2025-baseline,4,16,mid,3178.2,52.5,MOR-SYN-047,Wenccos,yellow,soup,6,4,43,1,8443,1
NPB-0032,COM-02,Puno,2025-baseline,2,24,mid,3212.8,58.5,MOR-SYN-002,Peruanita,yellow,soup,3,5,29,1,5445,1
NPB-0033,COM-02,Puno,2025-baseline,1,30,mid,3183.4,54.1,MOR-SYN-056,Sani,purple,chuño,2,4,64,1,9086,1
NPB-0034,COM-02,Puno,2025-baseline,2,23,mid,3149.2,56.8,MOR-SYN-003,Azul,cream,market,0,5,47,1,4490,1
NPB-0035,COM-02,Puno,2025-baseline,1,20,mid,3123.3,62.4,MOR-SYN-053,Azul,cream,market,4,2,52,0,8990,0
NPB-0036,COM-02,Puno,2025-baseline,1,31,mid,3141.7,62.9,MOR-SYN-055,Amarilla,red,boiling,3,4,29,1,1471,1
NPB-0037,COM-02,Puno,2025-baseline,2,33,mid,3148.4,62.2,MOR-SYN-004,Muru,multicolour,ceremonial,3,4,61,1,9588,1
NPB-0038,COM-02,Puno,2025-baseline,3,15,mid,3151.5,55.5,MOR-SYN-043,Azul,cream,market,1,1,46,1,1842,1
NPB-0039,COM-02,Puno,2025-baseline,1,35,mid,3177.4,67.4,MOR-SYN-035,Amarilla,red,boiling,0,1,39,0,6011,0
NPB-0040,COM-02,Puno,2025-baseline,3,32,mid,3181.9,58.0,MOR-SYN-048,Puka,cream,market,1,1,68,1,6156,1
NPB-0041,COM-02,Puno,2025-baseline,3,23,mid,3215.4,52.2,MOR-SYN-054,Muru,multicolour,ceremonial,6,3,51,1,5246,1
NPB-0042,COM-02,Puno,2025-baseline,1,23,mid,3182.3,57.8,MOR-SYN-040,Qeqorani,red,boiling,7,3,60,1,8606,1
NPB-0043,COM-02,Puno,2025-baseline,1,20,mid,3179.2,52.4,MOR-SYN-045,Amarilla,red,boiling,4,5,6,1,9391,1
NPB-0044,COM-02,Puno,2025-baseline,2,32,mid,3246.6,60.1,MOR-SYN-017,Wenccos,yellow,soup,0,4,58,0,2114,0
NPB-0045,COM-02,Puno,2025-baseline,3,14,mid,3145.2,61.6,MOR-SYN-021,Ccompis,purple,chuño,8,2,33,1,1522,1
NPB-0046,COM-02,Puno,2025-baseline,1,30,mid,3146.2,60.8,MOR-SYN-049,Yana,multicolour,ceremonial,8,4,16,1,4613,1
NPB-0047,COM-02,Puno,2025-baseline,2,24,mid,3208.8,70.7,MOR-SYN-039,Yana,multicolour,ceremonial,6,5,11,1,3343,1
NPB-0048,COM-02,Puno,2025-baseline,1,30,mid,3130.3,66.0,MOR-SYN-059,Yana,multicolour,ceremonial,5,1,51,0,8255,0
NPB-0049,COM-03,Ayacucho,2025-baseline,4,14,high,4060.7,76.0,MOR-SYN-027,Puka,yellow,soup,2,1,66,1,5067,1
NPB-0050,COM-03,Ayacucho,2025-baseline,4,26,high,3986.8,81.6,MOR-SYN-012,Azul,yellow,soup,3,3,40,1,3306,1
NPB-0051,COM-03,Ayacucho,2025-baseline,2,35,high,4057.5,74.7,MOR-SYN-045,Sani,red,boiling,5,4,51,0,2547,0
NPB-0052,COM-03,Ayacucho,2025-baseline,3,15,high,3953.9,77.5,MOR-SYN-001,Peruanita,purple,chuño,3,2,12,1,5600,1
NPB-0053,COM-03,Ayacucho,2025-baseline,4,13,high,3987.9,78.8,MOR-SYN-026,Wenccos,purple,chuño,6,3,60,1,8404,1
NPB-0054,COM-03,Ayacucho,2025-baseline,1,12,high,4019.9,69.4,MOR-SYN-017,Puka,yellow,soup,6,4,40,1,6225,1
NPB-0055,COM-03,Ayacucho,2025-baseline,4,35,high,4024.1,73.8,MOR-SYN-023,Muru,cream,market,5,5,17,1,6892,1
NPB-0056,COM-03,Ayacucho,2025-baseline,1,27,high,3987.3,68.0,MOR-SYN-005,Sani,red,boiling,3,4,21,1,4760,1
NPB-0057,COM-03,Ayacucho,2025-baseline,1,27,high,4018.0,70.0,MOR-SYN-047,Puka,yellow,soup,8,3,57,1,4006,1
NPB-0058,COM-03,Ayacucho,2025-baseline,4,18,high,3970.4,65.5,MOR-SYN-003,Muru,cream,market,3,1,10,1,4460,1
NPB-0059,COM-03,Ayacucho,2025-baseline,4,14,high,4010.7,76.9,MOR-SYN-029,Qeqorani,multicolour,ceremonial,1,3,18,1,3471,1
NPB-0060,COM-03,Ayacucho,2025-baseline,1,38,high,4027.7,76.8,MOR-SYN-037,Puka,yellow,soup,6,2,50,1,6516,1
NPB-0061,COM-03,Ayacucho,2025-baseline,3,24,high,4041.0,69.5,MOR-SYN-032,Azul,yellow,soup,0,1,26,0,2820,0
NPB-0062,COM-03,Ayacucho,2025-baseline,4,25,high,4032.1,74.5,MOR-SYN-015,Sani,red,boiling,4,5,37,1,5979,1
NPB-0063,COM-03,Ayacucho,2025-baseline,3,22,high,4041.7,78.0,MOR-SYN-011,Peruanita,purple,chuño,7,1,9,0,5473,0
NPB-0064,COM-03,Ayacucho,2025-baseline,2,14,high,3958.8,76.3,MOR-SYN-051,Peruanita,purple,chuño,0,1,53,1,2591,1
NPB-0065,COM-03,Ayacucho,2025-baseline,3,28,high,3994.4,76.7,MOR-SYN-024,Amarilla,multicolour,ceremonial,4,1,48,1,9118,1
NPB-0066,COM-03,Ayacucho,2025-baseline,1,37,high,3990.6,77.4,MOR-SYN-030,Ccompis,red,boiling,2,4,3,1,4933,1
NPB-0067,COM-03,Ayacucho,2025-baseline,2,23,high,4007.0,71.7,MOR-SYN-013,Muru,cream,market,4,4,66,1,1020,1
NPB-0068,COM-03,Ayacucho,2025-baseline,1,14,high,4003.9,78.0,MOR-SYN-044,Amarilla,multicolour,ceremonial,0,3,17,0,5003,0
NPB-0069,COM-03,Ayacucho,2025-baseline,2,34,high,4007.1,76.3,MOR-SYN-009,Qeqorani,multicolour,ceremonial,8,3,50,1,5674,1
NPB-0070,COM-03,Ayacucho,2025-baseline,1,34,high,4003.8,83.5,MOR-SYN-052,Azul,yellow,soup,5,2,3,1,9437,1
NPB-0071,COM-03,Ayacucho,2025-baseline,4,16,high,4034.2,76.0,MOR-SYN-042,Azul,yellow,soup,0,3,59,1,6987,1
NPB-0072,COM-03,Ayacucho,2025-baseline,3,21,high,4059.4,74.1,MOR-SYN-002,Azul,yellow,soup,7,3,48,1,7686,1
NPB-0073,COM-04,Cusco,2025-baseline,3,13,low,2149.7,25.2,MOR-SYN-018,Qeqorani,cream,market,1,1,5,0,4764,0
NPB-0074,COM-04,Cusco,2025-baseline,4,20,low,2169.2,18.4,MOR-SYN-034,Sani,multicolour,ceremonial,2,4,6,0,6281,0
NPB-0075,COM-04,Cusco,2025-baseline,3,17,low,2237.2,20.0,MOR-SYN-048,Qeqorani,cream,market,8,2,51,0,6353,0
NPB-0076,COM-04,Cusco,2025-baseline,2,23,low,2165.6,24.5,MOR-SYN-016,Puka,purple,chuño,1,5,5,1,9214,1
NPB-0077,COM-04,Cusco,2025-baseline,3,29,low,2196.0,19.1,MOR-SYN-037,Yana,yellow,soup,4,2,39,0,6503,0
NPB-0078,COM-04,Cusco,2025-baseline,3,18,low,2219.0,22.5,MOR-SYN-003,Amarilla,cream,market,3,5,64,1,6895,1
NPB-0079,COM-04,Cusco,2025-baseline,1,26,low,2213.9,23.8,MOR-SYN-039,Ccompis,multicolour,ceremonial,3,2,17,1,2655,1
NPB-0080,COM-04,Cusco,2025-baseline,2,32,low,2217.5,24.1,MOR-SYN-053,Amarilla,cream,market,2,1,3,0,9260,0
NPB-0081,COM-04,Cusco,2025-baseline,3,35,low,2224.2,26.4,MOR-SYN-047,Yana,yellow,soup,2,5,57,1,8527,1
NPB-0082,COM-04,Cusco,2025-baseline,1,31,low,2180.0,27.1,MOR-SYN-031,Azul,purple,chuño,5,3,9,1,7233,1
NPB-0083,COM-04,Cusco,2025-baseline,4,16,low,2228.4,28.1,MOR-SYN-013,Amarilla,cream,market,7,2,65,1,7397,1
NPB-0084,COM-04,Cusco,2025-baseline,4,33,low,2135.2,29.4,MOR-SYN-004,Sani,multicolour,ceremonial,5,1,33,0,5861,0
NPB-0085,COM-04,Cusco,2025-baseline,1,36,low,2209.0,25.6,MOR-SYN-032,Muru,yellow,soup,7,3,44,1,7511,1
NPB-0086,COM-04,Cusco,2025-baseline,1,32,low,2221.3,20.0,MOR-SYN-015,Wenccos,red,boiling,6,4,44,0,2460,0
NPB-0087,COM-04,Cusco,2025-baseline,2,17,low,2246.2,28.5,MOR-SYN-043,Amarilla,cream,market,8,1,53,1,3095,1
NPB-0088,COM-04,Cusco,2025-baseline,2,33,low,2161.1,22.1,MOR-SYN-026,Puka,purple,chuño,5,1,50,0,6451,0
NPB-0089,COM-04,Cusco,2025-baseline,2,32,low,2236.0,23.5,MOR-SYN-044,Sani,multicolour,ceremonial,4,5,43,0,6278,0
NPB-0090,COM-04,Cusco,2025-baseline,4,33,low,2211.5,30.7,MOR-SYN-019,Ccompis,multicolour,ceremonial,8,2,59,1,4621,1
NPB-0091,COM-04,Cusco,2025-baseline,2,27,low,2177.6,25.3,MOR-SYN-005,Wenccos,red,boiling,5,5,27,1,5147,1
NPB-0092,COM-04,Cusco,2025-baseline,4,26,low,2264.1,28.2,MOR-SYN-022,Muru,yellow,soup,1,5,46,0,4218,0
NPB-0093,COM-04,Cusco,2025-baseline,3,23,low,2186.6,23.6,MOR-SYN-025,Wenccos,red,boiling,1,3,5,0,2058,0
NPB-0094,COM-04,Cusco,2025-baseline,2,18,low,2240.2,27.9,MOR-SYN-042,Muru,yellow,soup,1,4,47,0,3409,0
NPB-0095,COM-04,Cusco,2025-baseline,1,29,low,2235.6,10.8,MOR-SYN-008,Qeqorani,cream,market,4,1,38,0,1940,0
NPB-0096,COM-04,Cusco,2025-baseline,3,12,low,2130.7,25.6,MOR-SYN-050,Peruanita,red,boiling,1,1,33,0,9665,0
NPB-0097,COM-05,Puno,2025-baseline,3,37,mid,3189.4,56.3,MOR-SYN-057,Qeqorani,yellow,soup,7,1,26,1,8807,1
NPB-0098,COM-05,Puno,2025-baseline,2,22,mid,3229.5,56.3,MOR-SYN-038,Ccompis,cream,market,5,1,48,1,7444,1
NPB-0099,COM-05,Puno,2025-baseline,4,20,mid,3204.9,58.9,MOR-SYN-002,Amarilla,yellow,soup,6,3,63,1,7409,1
NPB-0100,COM-05,Puno,2025-baseline,3,32,mid,3229.3,53.2,MOR-SYN-032,Amarilla,yellow,soup,6,4,22,1,7321,1
NPB-0101,COM-05,Puno,2025-baseline,4,12,mid,3175.0,59.9,MOR-SYN-023,Sani,cream,market,1,2,21,1,5213,1
NPB-0102,COM-05,Puno,2025-baseline,3,14,mid,3211.2,67.1,MOR-SYN-053,Sani,cream,market,3,3,29,1,9982,1
NPB-0103,COM-05,Puno,2025-baseline,2,36,mid,3191.5,55.2,MOR-SYN-015,Puka,red,boiling,5,1,12,0,6984,0
NPB-0104,COM-05,Puno,2025-baseline,1,20,mid,3229.6,64.3,MOR-SYN-016,Yana,purple,chuño,5,4,27,1,8249,1
NPB-0105,COM-05,Puno,2025-baseline,2,22,mid,3182.3,54.4,MOR-SYN-029,Peruanita,multicolour,ceremonial,0,2,30,0,3738,0
NPB-0106,COM-05,Puno,2025-baseline,1,36,mid,3214.4,60.2,MOR-SYN-044,Wenccos,multicolour,ceremonial,0,1,62,0,1266,0
NPB-0107,COM-05,Puno,2025-baseline,2,35,mid,3199.4,62.5,MOR-SYN-008,Ccompis,cream,market,7,2,11,1,4171,1
NPB-0108,COM-05,Puno,2025-baseline,3,23,mid,3210.9,58.9,MOR-SYN-039,Peruanita,multicolour,ceremonial,0,2,42,1,6491,1
NPB-0109,COM-05,Puno,2025-baseline,3,27,mid,3218.7,59.0,MOR-SYN-028,Ccompis,cream,market,2,4,13,1,8694,1
NPB-0110,COM-05,Puno,2025-baseline,2,29,mid,3168.2,54.0,MOR-SYN-024,Wenccos,multicolour,ceremonial,8,2,32,0,5805,0
NPB-0111,COM-05,Puno,2025-baseline,2,37,mid,3148.5,59.9,MOR-SYN-021,Muru,purple,chuño,8,3,34,1,7772,1
NPB-0112,COM-05,Puno,2025-baseline,3,21,mid,3165.5,53.8,MOR-SYN-034,Wenccos,multicolour,ceremonial,0,5,5,1,9586,1
NPB-0113,COM-05,Puno,2025-baseline,3,13,mid,3166.6,61.6,MOR-SYN-054,Wenccos,multicolour,ceremonial,5,4,12,1,7864,1
NPB-0114,COM-05,Puno,2025-baseline,2,37,mid,3160.3,61.6,MOR-SYN-055,Puka,red,boiling,6,2,19,0,8526,0
NPB-0115,COM-05,Puno,2025-baseline,1,23,mid,3207.4,51.0,MOR-SYN-037,Qeqorani,yellow,soup,4,1,17,1,8359,1
NPB-0116,COM-05,Puno,2025-baseline,3,12,mid,3171.1,55.0,MOR-SYN-059,Peruanita,multicolour,ceremonial,6,1,3,1,7318,1
NPB-0117,COM-05,Puno,2025-baseline,2,38,mid,3196.3,59.0,MOR-SYN-030,Azul,red,boiling,6,1,49,0,4852,0
NPB-0118,COM-05,Puno,2025-baseline,1,20,mid,3195.7,59.8,MOR-SYN-019,Peruanita,multicolour,ceremonial,7,5,50,1,1847,1
NPB-0119,COM-05,Puno,2025-baseline,4,23,mid,3204.4,51.8,MOR-SYN-014,Wenccos,multicolour,ceremonial,3,5,22,0,7628,0
NPB-0120,COM-05,Puno,2025-baseline,2,20,mid,3146.9,55.6,MOR-SYN-012,Amarilla,yellow,soup,6,4,21,0,9253,0
NPB-0121,COM-06,Ayacucho,2025-baseline,2,28,high,3882.7,69.1,MOR-SYN-027,Ccompis,yellow,soup,1,3,18,1,4507,1
NPB-0122,COM-06,Ayacucho,2025-baseline,4,33,high,3872.1,69.3,MOR-SYN-010,Muru,red,boiling,7,1,37,1,1915,1
NPB-0123,COM-06,Ayacucho,2025-baseline,4,13,high,3936.4,63.4,MOR-SYN-024,Puka,multicolour,ceremonial,6,4,49,1,5683,1
NPB-0124,COM-06,Ayacucho,2025-baseline,3,23,high,3887.9,74.1,MOR-SYN-009,Azul,multicolour,ceremonial,7,5,47,1,4171,1
NPB-0125,COM-06,Ayacucho,2025-baseline,4,14,high,3898.1,68.2,MOR-SYN-025,Yana,red,boiling,1,1,70,0,7940,0
NPB-0126,COM-06,Ayacucho,2025-baseline,2,24,high,3908.7,59.8,MOR-SYN-039,Azul,multicolour,ceremonial,5,1,11,1,5056,1
NPB-0127,COM-06,Ayacucho,2025-baseline,4,21,high,3870.8,63.2,MOR-SYN-031,Amarilla,purple,chuño,3,2,50,0,3113,0
NPB-0128,COM-06,Ayacucho,2025-baseline,1,34,high,3952.7,67.3,MOR-SYN-006,Qeqorani,purple,chuño,3,3,4,1,1019,1
NPB-0129,COM-06,Ayacucho,2025-baseline,4,36,high,3896.4,63.3,MOR-SYN-007,Ccompis,yellow,soup,0,1,61,0,5519,0
NPB-0130,COM-06,Ayacucho,2025-baseline,4,38,high,3910.3,74.6,MOR-SYN-022,Sani,yellow,soup,2,4,50,1,5807,1
NPB-0131,COM-06,Ayacucho,2025-baseline,2,14,high,3927.3,68.4,MOR-SYN-028,Peruanita,cream,market,6,4,65,1,1751,1
NPB-0132,COM-06,Ayacucho,2025-baseline,2,26,high,3860.9,74.5,MOR-SYN-056,Qeqorani,purple,chuño,3,5,59,1,8768,1
NPB-0133,COM-06,Ayacucho,2025-baseline,4,13,high,3887.0,71.2,MOR-SYN-014,Puka,multicolour,ceremonial,1,1,7,1,5971,1
NPB-0134,COM-06,Ayacucho,2025-baseline,1,13,high,3923.6,67.4,MOR-SYN-049,Azul,multicolour,ceremonial,6,2,54,1,9685,1
NPB-0135,COM-06,Ayacucho,2025-baseline,3,17,high,3959.1,70.2,MOR-SYN-037,Ccompis,yellow,soup,1,5,40,1,4083,1
NPB-0136,COM-06,Ayacucho,2025-baseline,2,32,high,3812.2,72.6,MOR-SYN-016,Qeqorani,purple,chuño,0,5,27,0,1556,0
NPB-0137,COM-06,Ayacucho,2025-baseline,3,19,high,3896.5,68.3,MOR-SYN-042,Sani,yellow,soup,1,3,50,1,4695,1
NPB-0138,COM-06,Ayacucho,2025-baseline,2,26,high,3901.2,74.3,MOR-SYN-041,Amarilla,purple,chuño,4,2,27,0,5395,0
NPB-0139,COM-06,Ayacucho,2025-baseline,4,27,high,3846.6,77.8,MOR-SYN-046,Qeqorani,purple,chuño,1,1,68,0,8352,0
NPB-0140,COM-06,Ayacucho,2025-baseline,2,24,high,3863.6,69.3,MOR-SYN-023,Wenccos,cream,market,4,4,50,1,4938,1
NPB-0141,COM-06,Ayacucho,2025-baseline,4,14,high,3874.6,67.7,MOR-SYN-005,Yana,red,boiling,3,4,44,1,1510,1
NPB-0142,COM-06,Ayacucho,2025-baseline,2,19,high,3898.4,73.0,MOR-SYN-059,Azul,multicolour,ceremonial,4,2,22,0,7469,0
NPB-0143,COM-06,Ayacucho,2025-baseline,1,27,high,3882.7,67.7,MOR-SYN-040,Muru,red,boiling,4,5,57,1,2670,1
NPB-0144,COM-06,Ayacucho,2025-baseline,1,22,high,3835.9,66.8,MOR-SYN-029,Azul,multicolour,ceremonial,0,3,47,0,6437,0
NPB-0145,COM-07,Cusco,2025-baseline,2,32,low,2496.9,7.7,MOR-SYN-038,Azul,cream,market,4,1,21,1,7133,1
NPB-0146,COM-07,Cusco,2025-baseline,1,19,low,2530.9,22.1,MOR-SYN-032,Wenccos,yellow,soup,8,5,6,1,7625,1
NPB-0147,COM-07,Cusco,2025-baseline,2,19,low,2449.7,18.1,MOR-SYN-019,Muru,multicolour,ceremonial,7,2,6,0,8318,0
NPB-0148,COM-07,Cusco,2025-baseline,2,32,low,2505.9,15.1,MOR-SYN-028,Azul,cream,market,6,5,69,1,4519,1
NPB-0149,COM-07,Cusco,2025-baseline,4,23,low,2484.9,15.3,MOR-SYN-009,Muru,multicolour,ceremonial,2,4,9,0,3216,0
NPB-0150,COM-07,Cusco,2025-baseline,3,29,low,2480.8,18.9,MOR-SYN-015,Qeqorani,red,boiling,1,1,38,0,3917,0
NPB-0151,COM-07,Cusco,2025-baseline,1,15,low,2463.7,16.8,MOR-SYN-057,Peruanita,yellow,soup,3,4,25,0,9509,0
NPB-0152,COM-07,Cusco,2025-baseline,2,17,low,2486.8,18.1,MOR-SYN-053,Puka,cream,market,5,5,32,0,8061,0
NPB-0153,COM-07,Cusco,2025-baseline,1,25,low,2444.6,14.8,MOR-SYN-002,Wenccos,yellow,soup,8,3,7,1,4207,1
NPB-0154,COM-07,Cusco,2025-baseline,3,30,low,2519.8,11.6,MOR-SYN-059,Muru,multicolour,ceremonial,2,5,30,1,1909,1
NPB-0155,COM-07,Cusco,2025-baseline,2,31,low,2423.7,8.2,MOR-SYN-056,Ccompis,purple,chuño,6,2,63,1,9966,1
NPB-0156,COM-07,Cusco,2025-baseline,3,25,low,2446.3,19.1,MOR-SYN-014,Yana,multicolour,ceremonial,5,4,33,0,7211,0
NPB-0157,COM-07,Cusco,2025-baseline,4,20,low,2469.4,17.6,MOR-SYN-060,Amarilla,red,boiling,5,4,22,1,9420,1
NPB-0158,COM-07,Cusco,2025-baseline,3,27,low,2508.3,14.6,MOR-SYN-022,Wenccos,yellow,soup,0,2,17,0,3426,0
NPB-0159,COM-07,Cusco,2025-baseline,2,35,low,2513.6,12.7,MOR-SYN-033,Puka,cream,market,4,3,17,0,4327,0
NPB-0160,COM-07,Cusco,2025-baseline,2,29,low,2436.5,12.5,MOR-SYN-036,Ccompis,purple,chuño,8,4,38,0,5182,0
NPB-0161,COM-07,Cusco,2025-baseline,2,12,low,2491.3,12.5,MOR-SYN-016,Ccompis,purple,chuño,1,1,22,1,4504,1
NPB-0162,COM-07,Cusco,2025-baseline,4,33,low,2537.2,8.8,MOR-SYN-050,Amarilla,red,boiling,4,5,67,1,3010,1
NPB-0163,COM-07,Cusco,2025-baseline,2,37,low,2508.4,20.0,MOR-SYN-052,Wenccos,yellow,soup,5,3,5,0,9991,0
NPB-0164,COM-07,Cusco,2025-baseline,1,28,low,2445.6,14.6,MOR-SYN-026,Ccompis,purple,chuño,6,3,9,0,8006,0
NPB-0165,COM-07,Cusco,2025-baseline,4,21,low,2494.9,20.8,MOR-SYN-010,Amarilla,red,boiling,7,2,31,0,9254,0
NPB-0166,COM-07,Cusco,2025-baseline,1,19,low,2486.8,5.3,MOR-SYN-017,Peruanita,yellow,soup,3,1,53,0,3013,0
NPB-0167,COM-07,Cusco,2025-baseline,2,13,low,2503.6,21.9,MOR-SYN-043,Puka,cream,market,3,3,53,0,5550,0
NPB-0168,COM-07,Cusco,2025-baseline,1,17,low,2458.5,13.9,MOR-SYN-023,Puka,cream,market,1,3,54,0,6931,0
NPB-0169,COM-08,Puno,2025-baseline,1,20,mid,3264.1,39.4,MOR-SYN-016,Peruanita,purple,chuño,4,5,54,1,2722,1
NPB-0170,COM-08,Puno,2025-baseline,3,30,mid,3226.2,36.5,MOR-SYN-040,Sani,red,boiling,4,5,21,1,1694,1
NPB-0171,COM-08,Puno,2025-baseline,3,27,mid,3239.9,40.8,MOR-SYN-008,Muru,cream,market,0,3,61,0,8744,0
NPB-0172,COM-08,Puno,2025-baseline,1,37,mid,3353.6,39.3,MOR-SYN-029,Amarilla,multicolour,ceremonial,8,3,40,1,9091,1
NPB-0173,COM-08,Puno,2025-baseline,2,18,mid,3255.6,26.4,MOR-SYN-041,Wenccos,purple,chuño,5,4,9,0,1828,0
NPB-0174,COM-08,Puno,2025-baseline,2,30,mid,3286.4,31.8,MOR-SYN-059,Amarilla,multicolour,ceremonial,8,1,49,0,3843,0
NPB-0175,COM-08,Puno,2025-baseline,3,28,mid,3183.9,37.9,MOR-SYN-022,Puka,yellow,soup,0,3,25,0,2492,0
NPB-0176,COM-08,Puno,2025-baseline,1,37,mid,3218.9,35.9,MOR-SYN-049,Amarilla,multicolour,ceremonial,3,2,39,1,1749,1
NPB-0177,COM-08,Puno,2025-baseline,2,18,mid,3282.0,30.4,MOR-SYN-010,Sani,red,boiling,6,2,69,1,1616,1
NPB-0178,COM-08,Puno,2025-baseline,3,22,mid,3315.1,31.1,MOR-SYN-053,Yana,cream,market,1,5,70,0,2041,0
NPB-0179,COM-08,Puno,2025-baseline,4,20,mid,3291.3,39.1,MOR-SYN-005,Ccompis,red,boiling,6,4,46,1,3129,1
NPB-0180,COM-08,Puno,2025-baseline,4,12,mid,3264.2,46.4,MOR-SYN-043,Yana,cream,market,3,4,4,0,7212,0
NPB-0181,COM-08,Puno,2025-baseline,1,18,mid,3218.0,35.9,MOR-SYN-052,Puka,yellow,soup,8,4,55,1,2302,1
NPB-0182,COM-08,Puno,2025-baseline,2,38,mid,3251.9,33.0,MOR-SYN-023,Yana,cream,market,6,2,55,1,9515,1
NPB-0183,COM-08,Puno,2025-baseline,1,19,mid,3245.9,27.6,MOR-SYN-013,Yana,cream,market,8,1,69,0,5181,0
