record_id,site,season,block,replicate,genotype,altitude_m,rainfall_mm,mean_temperature_c,irrigation_mm,canopy_cover_pct,late_blight_severity_pct,soil_ph,yield_t_ha,dry_matter_pct,plot_marker_number,harvest_value_usd_ha
PBT-0019,La Molina,2024-A,1,1,CIP-SYN-007,241.0,67.9,21.4,403.5,74.3,0,6.51,38.36,19.3,7443,12064.6
PBT-0170,La Molina,2025-A,2,2,CIP-SYN-009,231.4,130.7,21.1,401.8,76.9,19.2,5.51,31.38,17.9,2952,8931.98
PBT-0227,Cajamarca,2025-A,2,2,CIP-SYN-004,2728.5,716.0,15.2,225.2,66.5,20.5,5.6,25.46,19.1,6713,7071.56
PBT-0285,canete,2025-A,3,3,CIP-SYN-011,77.4,65.4,23.1,454.6,64.2,5.0,6.63,35.52,19.1,8968,9587.2
PBT-0175,La Molina,2025-A,1,1,CIP-SYN-011,232.9,55.2,21.4,473.8,61.0,1.6,6.27,32.98,19.9,6370,10039.92
PBT-0014,La Molina,2024-A,2,2,CIP-SYN-005,226.8,101.0,21.0,385.1,76.4,4.0,5.9,30.48,16.9,1966,8924.41
PBT-0138,Canete,2024-A,3,3,CIP-SYN-010,64.8,31.0,22.9,496.4,76.4,18.5,5.85,39.56,18.8,2544,10925.4
PBT-0100,Cajamarca,2024-A,1,1,CIP-SYN-010,2764.8,684.7,14.8,187.1,71.3,29.8,5.82,22.84,19.3,4973,5922.76
PBT-0060,Huancayo,2024-A,3,3,CIP-SYN-008,3237.2,470.7,12.1,137.3,73.3,38.5,5.52,19.67,,7076,5174.29
PBT-0214,Huancayo,2025-A,1,1,CIP-SYN-012,3246.1,543.1,13.1,161.1,56.2,18.2,5.82,19.44,17.3,9943,6026.77
PBT-0104,Cajamarca,2024-A,2,2,CIP-SYN-011,2770.6,693.5,16.0,222.2,65.5,20.9,6.3,30.13,18.3,6279,9290.34
PBT-0041,Huancayo,2024A,2,2,CIP-SYN-002,3251.1,514.7,11.3,190.7,70.3,6.0,5.79,29.86,20.2,4597,9275.52
PBT-0184,Huancayo,2025-A,1,1,CIP-SYN-002,3247.8,551.2,12.3,131.5,65.1,16.6,5.68,19.77,19.2,1318,5523.31
PBT-0254,Canete,2025-A,2,2,CIP-SYN-001,71.0,68.0,24.1,450.5,59.2,5.1,5.31,33.91,20.3,7697,8826.39
PBT-0203,Huancayo,2025-A,2,2,CIP-SYN-008,3275.5,570.0,13.8,192.4,61.3,47.0,5.5,17.12,22.3,9978,4832.79
PBT-0042,Huancayo,2024-A,3,3,CIP-SYN-002,3264.5,533.7,11.6,192.8,59.2,24.6,5.66,17.51,16.9,5466,5131.69
PBT-0115,Canete,2024-A,1,1,CIP-SYN-003,107.0,63.5,22.4,435.3,57.9,1.4,5.53,29.42,19.6,1544,8447.55
PBT-0234,Cajamarca,2025-A,3,3,CIP-SYN-006,2745.4,733.0,15.4,205.2,72.2,48.8,5.11,24.42,20.0,6650,7277.77
PBT-0040,Huancayo,2024-A,1,1,CIP-SYN-002,3234.6,481.8,11.5,153.1,80.0,12.3,5.8,25.14,16.6,1067,7690.31
PBT-0236,Cajamarca,2025-A,2,2,CIP-SYN-007,2769.9,779.8,15.2,200.5,,14.6,,30.87,22.8,8383,9570.35
PBT-0105,Cajamarca,2024-A,3,3,CIP-SYN-011,2751.9,709.0,14.9,196.6,51.2,18.1,5.28,24.82,20.3,1178,6495.16
PBT-0168,La Molina,2025-A,3,3,CIP-SYN-008,237.4,157.6,21.0,404.2,,15.1,6.5,32.5,20.5,9137,9276.0
PBT-0217,Cajamarca,2025-A,1,1,CIP-SYN-001,2729.9,723.2,14.7,177.7,58.9,11.7,5.65,23.87,17.7,8378,6324.25
PBT-0028,La Molina,2024-A,1,1,CIP-SYN-010,239.2,97.2,21.9,414.6,72.1,16.7,,31.1,17.1,8109,8043.48
PBT-0188,Huancayo,2025-A,2,2,CIP-SYN-003,3237.7,531.7,12.5,139.1,59.1,28.6,5.96,18.99,17.2,2018,5173.08
PBT-0108,Cajamarca,2024-a,3,3,CIP-SYN-012,2752.8,742.7,15.4,188.1,64.5,31.7,5.05,20.8,14.5,8012,6490.18
PBT-0096,Cajamarca,2024-A,3,3,CIP-SYN-008,2776.3,655.3,14.8,183.1,76.0,34.9,5.39,23.9,,8705,7291.78
PBT-0049,Huancayo,2024-A,1,1,CIP-SYN-005,3243.1,557.2,11.6,203.1,70.4,27.3,5.55,18.79,17.4,4291,5596.98
PBT-0089,Cajamarca,2024-A,2,2,CIP-SYN-006,2740.5,694.4,13.1,208.0,70.8,35.2,5.46,20.54,19.8,5750,5484.05
PBT-0169,La Molina,2025-A,1,1,CIP-SYN-009,249.5,116.2,20.2,413.2,76.3,10.1,5.83,34.88,17.2,7455,10875.07
PBT-0091,Cajamarca,2024-A,1,1,CIP-SYN-007,2744.1,715.5,15.2,198.9,81.0,10.1,4.93,38.99,21.6,5826,11525.49
PBT-0193,Huancayo,2025-A,1,1,CIP-SYN-005,3255.3,526.1,12.9,193.5,71.3,19.5,5.5,22.53,15.9,4106,5924.69
PBT-0288,Canete,2025-A,3,3,CIP-SYN-012,247 ft,96.6,24.0,456.3,60.0,16.4,5.77,29.88,18.2,9367,7779.65
PBT-0125,Cañete,2024-a,2,2,CIP-SYN-006,87.2,48.6,22.1,468.1,60.7,24.6,5.0,30.48,20.4,6724,9230.98
PBT-0226,Cajamarca,2025-A,1,1,CIP-SYN-004,2724.7,712.9,16.5,170.7,71.8,31.2,6.19,23.07,17.5,8706,6610.46
PBT-0035,La Molina,2024-A,2,2,CIP-SYN-012,229.0,102.2,19.9,373.3,64.7,9.7,6.25,26.76,17.0,9814,8303.11
PBT-0212,Huancayo,2025-A,2,2,CIP-SYN-011,3268.5,537.7,12.3,106.5,60.3,14.2,6.08,24.41,20.1,3103,6761.4
PBT-0070,Huancayo,2024-A,1,1,CIP-SYN-012,3219.8,514.0,12.2,140.4,63.8,39.2,5.77,18.04,19.0,4990,5154.73
PBT-0220,Cajamarca,2025-A,1,1,CIP-SYN-002,2766.2,759.1,15.4,222.5,70.0,13.8,5.75,26.48,18.6,5334,8313.14
PBT-0177,La Molina,2025-A,3,3,CIP-SYN-011,248.6,108.7,20.5,431.3,59.7,4.8,6.13,32.67,19.3,6945,9027.63
PBT-0119,Canete,2024-A,2,2,CIP-SYN-004,90.8,3.9,22.5,449.5,67.7,14.7,7.17,36.64,16.3,1312,9782.88
PBT-0128,Canete,2024-A,2,2,CIP-SYN-007,87.3,63.9,22.5,449.0,71.3,0,6.19,40.65,16.2,6804,10753.19
PBT-0053,Huancayo,2024-A,2,2,CIP-SYN-006,3241.4,540.4,11.3,146.2,53.0,19.3,14.7,17.86,21.7,2972,4662.31
PBT-0194,Huancayo,2025-A,2,2,CIP-SYN-005,3257.8,534.7,11.9,153.7,75.2,33.2,5.31,16.16,19.6,9047,5054.93
PBT-0219,Cajamarca,2025-A,3,3,CIP-SYN-001,2750.6,715.5,15.4,180.7,54.6,22.9,6.41,18.2,16.5,7762,4669.04
PBT-0160,La Molina,2025-A,1,1,CIP-SYN-006,237.9,118.5,21.5,403.4,69.8,24.1,5.79,32.13,19.7,1675,8957.89
PBT-0027,La Molina,2024-A,3,3,CIP-SYN-009,256.7,28.8,20.8,404.7,74.4,,4.76,29.3,,4590,7957.56
PBT-0235,Cajamarca,2025-A,1,1,CIP-SYN-007,2741.7,763.0,14.9,172.8,75.6,18.9,6.21,29.46,21.1,4735,8733.11
PBT-0038,Huancayo,2024-A,2,2,CIP-SYN-001,3245.9,548.2,11.6,163.8,66.3,2.3,6.02,19.3,17.7,8919,5930.68
PBT-0246,Cajamarca,2025-A,3,3,CIP-SYN-010,2749.0,712.0,16.0,194.9,79.2,44.2,5.55,28.02,16.0,9383,7750.85
PBT-0267,Canete,2025-A,3,3,CIP-SYN-005,83.1,71.9,23.4,407.1,56.3,11.2,6.74,30.5,18.8,3901,8804.87
PBT-0046,Huancayo,2024-A,1,1,CIP-SYN-004,3241.3,534.5,11.2,187.6,77.3,10.0,5.28,22.56,18.8,3467,6815.57
PBT-0080,Cajamarca,2024-A,2,2,CIP-SYN-003,2746.8,686.2,14.2,225.2,60.2,11.0,5.9,25.74,19.0,9063,7786.49
PBT-0024,La Molina,2024-A,3,3,CIP-SYN-008,236.1,103.4,21.2,375.7,74.2,15.3,5.9,32.22,18.8,2257,9434.96
PBT-0264,Canete,2025-A,3,3,CIP-SYN-004,89.4,32.6,22.2,463.2,66.9,3.3,5.68,36010 kg/ha,18.2,7381,10635.0
PBT-0197,Huancayo,2025-A,2,2,CIP-SYN-006,3239.2,565.1,12.0,157.2,75.2,26.8,5.47,27.73,20.8,7644,8365.56
PBT-0022,La Molina,2024-A,1,1,CIP-SYN-008,239.5,53.9,21.6,420.6,74.5,26.1,5.5,30.97,,4404,8339.81
PBT-0163,La Molina,2025-A,1,1,CIP-SYN-007,231.3,105.8,20.6,380.5,78.3,3.4,6.22,33.32,19.9,4664,8803.65
PBT-0114,Canete,2024-A,3,3,CIP-SYN-002,102.6,15.6,22.7,476.9,75.4,0,5.42,35.43,16.9,2505,11019.2
PBT-0142,Canete,2024-A,1,1,CIP-SYN-012,87.8,67.6,21.7,435.1,59.6,15.8,5.97,34.09,19.2,5166,8941.42
PBT-0196,Huancayo,2025-A,1,1,CIP-SYN-006,3265.1,537.2,12.1,150.6,66.7,35.5,5.75,21.9,19.8,2273,6011.1
PBT-0153,LA MOLINA ,2025-A,3,3,CIP-SYN-003,246.8,110.8,21.4,412.2,65.2,3.8,6.03,33.85,21.0,2116,9534.16
PBT-0178,La Molina,2025-A,1,1,CIP-SYN-012,227.0,95.7,21.8,401.2,63.7,3.3,5.35,31.18,19.5,9836,8934.17
PBT-0126,Canete,2024-A,3,3,CIP-SYN-006,70.8,32.3,22.0,474.3,65.5,26.1,5.84,31.42,21.2,9168,8644.83
PBT-0008,La Molina,2024-A,2,2,CIP-SYN-003,226.9,107.3,20.9,432.3,54.8,1.8,5.61,31.01,19.4,1174,8183.81
PBT-0172,La Molina,2025-A,1,1,CIP-SYN-010,244.3,79.5,22.0,399.1,72.3,19.3,5.86,29.09,17.1,6484,8748.26
PBT-0143,Canete,2024A,2,2,CIP-SYN-012,108.7,-4.5,22.4,477.6,74.3,24.3,5.39,32.01,16.6,6297,8315.0
PBT-0050,Huancayo,2024-A,2,2,CIP-SYN-005,3266.3,492.8,11.2,137.3,72.9,23.3,5.98,20.5,17.7,5989,6226.38
PBT-0076,Cajamarca,2024-A,1,1,CIP-SYN-002,2758.2,690.6,14.6,240.5,73.6,22.3,6.23,25.14,18.4,4992,6807.98
PBT-0189,Huancayo,2025-A,3,3,CIP-SYN-003,3250.8,565.0,12.3,151.2,61.3,,5.48,24.38,20.0,3450,7533.28
PBT-0279,Canete,2025-A,3,3,CIP-SYN-009,86.7,81.2,22.9,426.1,74.8,0,5.8,38.32,19.9,6623,10796.08
PBT-0004,La Molina,2024-A,1,1,CIP-SYN-002,226.0,61.7,20.2,432.7,71.3,6.6,,28.18,18.7,1351,7211.44
PBT-0045,Huancayo,2024-A,3,3,CIP-SYN-003,3239.4,490.3,11.5,173.0,61.0,9.6,5.65,20.86,18.3,1755,6174.89
PBT-0075,Cajamarca,2024-a,3,3,CIP-SYN-001,2728.2,683.9,14.5,219.9,61.0,12.2,6.09,23.87,17.6,1879,6933.36
PBT-0261,canete,2025-A,3,3,CIP-SYN-003,90.1,69.6,21.4,451.1,50.7,2.1,5.76,32.18,17.2,4017,9479.74
PBT-0165,La Molina,2025-A,3,3,CIP-SYN-007,252.1,131.2,20.5,382.5,70.9,5.2,6.05,36.03,20.2,1319,11214.83
PBT-0243,Cajamarca,2025-A,3,3,CIP-SYN-009,2752.2,777.8,15.4,196.4,69.2,25.8,6.44,27.36,17.0,3389,8406.0
PBT-0058,Huancayo,2024-A,1,1,CIP-SYN-008,3264.4,554.6,11.4,155.9,70.5,20.2,5.95,24.47,20.8,4535,6516.38
PBT-0213,Huancayo,2025-A,3,3,CIP-SYN-011,3247.2,524.1,11.7,162.1,,1.9,5.61,29.3,23.2,9681,7531.86
PBT-0244,Cajamarca,2025-A,1,1,CIP-SYN-010,2761.2,739.3,13.7,203.3,71.4,39.6,5.78,24.72,18.9,1315,6593.56
PBT-0250,Cajamarca,2025-A,1,1,CIP-SYN-012,2768.1,749.7,14.4,219.1,67.7,20.0,5.69,22.31,16.4,9873,7010.04
PBT-0256,Canete,2025-A,1,1,CIP-SYN-002,97.0,93.8,24.9,488.9,73.5,6.5,6.3,37.19,17.0,2189,9962.61
PBT-0224,Cajamarca,2025-A,2,2,CIP-SYN-003,2724.6,728.4,14.6,225.6,58.1,22.8,5.53,24.2,20.7,9617,7515.22
PBT-0098,Cajamarca,2024-A,2,2,CIP-SYN-009,2735.1,674.2,15.0,205.8,69.4,24.7,5.51,29.44,16.0,7920,8043.59
PBT-0259,Canete,2025-A,1,1,CIP-SYN-003,78.7,59.7,21.7,496.8,63.7,0,5.18,34.71,18.9,3997,10078.56
PBT-0154,La Molina,2025-A,1,1,CIP-SYN-004,247.4,150.8,20.8,394.3,84.5,17.3,5.4,35.51,18.5,3579,9468.98
PBT-0223,Cajamarca,2025-A,1,1,CIP-SYN-003,2764.3,750.2,15.5,211.5,68.8,22.4,6.84,28.63,17.2,9384,7713.4
PBT-0074,Cajamarca,2024-A,2,2,CIP-SYN-001,2725.1,690.0,14.3,187.9,65.3,30.8,5.95,21.08,,4977,6360.88
PBT-0083,Cajamarca,2024A,2,2,CIP-SYN-004,2774.9,702.2,16.3,200.5,72.7,17.9,5.53,27.93,20.3,6091,8633.41
PBT-0109,canete,2024-A,1,1,CIP-SYN-001,64.3,41.1,21.6,507.4,47.1,0,5.65,29.95,19.5,2321,9090.77
PBT-0237,Cajamarca,2025-A,3,3,CIP-SYN-007,2758.0,753.3,15.1,189.7,88.3,,5.56,33.47,21.8,5388,9601.42
PBT-0258,Canete,2025-A,3,3,CIP-SYN-002,81.5,84.3,23.6,461.8,72.9,0,6.38,39.56,19.8,4142,10834.26
PBT-0016,La Molina,2024-A,1,1,CIP-SYN-006,237.0,49.7,18.9,431.0,79.2,5.2,6.02,36.05,18.9,8283,9256.09
PBT-0279,Canete,2025-A,3,3,CIP-SYN-009,86.7,81.2,22.9,426.1,74.8,0,5.8,38.32,19.9,6623,10796.08
PBT-0045,Huancayo,2024-A,3,3,CIP-SYN-003,3239.4,490.3,11.5,173.0,61.0,9.6,5.65,20.86,18.3,1755,6174.89
PBT-0029,La Molina,2024-A,2,2,CIP-SYN-010,243.7,76.9,19.7,404.5,70.8,29.8,6.18,30.65,17.9,4423,8731.51
PBT-0018,La Molina,2024-A,3,3,CIP-SYN-006,254.9,52.9,20.8,430.2,81.5,21.4,6.34,32.81,20.0,4328,8422.09
PBT-0215,Huancayo,2025-A,2,2,CIP-SYN-012,3245.3,568.9,13.0,136.4,71.2,15.3,5.67,19.79,17.2,4806,6043.43
PBT-0238,Cajamarca,2025-A,1,1,CIP-SYN-008,2740.0,732.5,16.0,235.4,67.7,31.7,6.26,27.73,19.4,2494,7204.61
PBT-0259,Canete,2025-A,1,1,CIP-SYN-003,78.7,59.7,21.7,496.8,63.7,0,5.18,34.71,18.9,3997,10078.56
PBT-0020,La Molina,2024-A,2,2,CIP-SYN-007,233.8,72.1,21.2,383.6,78.1,0,6.0,37.24,21.4,8793,10960.92
PBT-0088,Cajamarca,2024A,1,1,CIP-SYN-006,2758.5,704.4,14.7,179.2,63.0,50.2,5.4,20.66,19.6,2513,6369.92
PBT-0273,Canete,2025-A,3,3,CIP-SYN-007,80.9,127.1,21.7,456.9,77.6,0,5.0,43.98,20.8,9220,11984.43
PBT-0199,Huancayo,2025-A,1,1,CIP-SYN-007,3250.5,539.0,11.8,172.8,74.7,8.9,6.47,25.81,20.0,7460,7134.9
PBT-0206,Huancayo,2025-A,2,2,CIP-SYN-009,3251.7,505.9,11.1,142.6,67.6,30.8,6.0,20.96,17.3,2726,6185.02
PBT-0211,Huancayo,2025-A,1,1,CIP-SYN-011,3259.9,535.2,12.5,142.7,50.2,16.9,6.64,18.69,22.0,8853,5531.95
PBT-0093,Cajamarca,2024-a,3,3,CIP-SYN-007,2727.0,699.5,13.9,228.5,80.1,9.1,6.33,29.24,20.3,2157,7675.6
PBT-0032,La Molina,2024-A,2,2,CIP-SYN-011,236.9,52.3,20.1,454.2,,0,6.03,31300 kg/ha,20.3,8753,8110.65
PBT-0127,Canete,2024-A,1,1,CIP-SYN-007,81.9,-3.5,22.1,439.0,77.6,0,6.26,41.82,19.9,9541,10885.19
PBT-0272,Canete,2025-A,2,2,CIP-SYN-007,87.1,102.5,22.6,457.3,71.6,3.4,6.35,36.11,19.6,6054,9658.47
PBT-0167,La Molina,2025-A,2,2,CIP-SYN-008,250.0,158.5,21.9,415.6,62.0,14.6,5.99,28.18,18.5,9723,7318.52
PBT-0225,Cajamarca,2025-A,3,3,CIP-SYN-003,2742.2,755.3,16.0,216.9,53.6,24.2,5.66,20.64,19.2,6451,5976.13
PBT-0262,Canete,2025-A,1,1,CIP-SYN-004,65.0,55.9,22.9,411.9,72.3,7.4,,33.49,16.6,3313,9832.09
PBT-0017,La Molina,2024-A,2,2,CIP-SYN-006,231.2,67.4,21.5,431.8,68.5,13.8,5.3,29.89,21.9,8919,8430.42
PBT-0097,Cajamarca,2024-A,1,1,CIP-SYN-009,2755.9,701.7,16.1,207.8,78.5,28.3,6.21,29.5,18.8,5412,7622.33
PBT-0286,Canete,2025-A,1,1,CIP-SYN-012,88.8,117.9,22.9,501.8,71.1,21.2,6.54,35.05,16.8,3455,9498.01
PBT-0228,Cajamarca,2025-A,3,3,CIP-SYN-004,2740.4,750.6,13.9,175.7,68.0,16.9,6.2,27.12,19.0,2675,8251.74
PBT-0116,Canete,2024-A,2,2,CIP-SYN-003,78.6,20.5,22.5,429.4,56.6,1.3,5.18,35.11,20.7,8790,11032.23
PBT-0268,Canete,2025-A,1,1,CIP-SYN-006,64.4,74.8,22.6,462.6,73.9,18.3,5.45,40.59,20.1,6128,11494.44
PBT-0068,Huancayo,2024-A,2,2,CIP-SYN-011,3230.0,561.6,11.7,148.2,65.2,13.1,5.69,26.03,21.6,4123,7400.6
PBT-0059,Huancayo,2024-A,2,2,CIP-SYN-008,3269.8,522.5,12.2,123.7,65.0,37.9,5.74,23.55,18.9,4513,6956.67
PBT-0090,Cajamarca,2024-A,3,3,CIP-SYN-006,2754.9,699.3,14.6,181.0,66.3,29.4,5.59,24.65,17.6,6405,7663.61
PBT-0183,Huancayo,2025-A,3,3,CIP-SYN-001,3237.1,614.4,12.4,159.5,63.5,5.8,6.56,19.53,20.4,7402,5789.01
PBT-0054,Huancayo,2024-A,3,3,CIP-SYN-006,3266.7,522.8,12.5,140.9,69.4,34.9,5.73,22.06,17.4,5228,5699.97
PBT-0103,Cajamarca,2024-A,1,1,CIP-SYN-011,2766.4,719.6,14.9,212.2,56.8,18.0,6.19,24.87,19.4,4263,7756.75
PBT-0007,La Molina,2024-A,1,1,CIP-SYN-003,237.0,110.6,21.0,419.9,67.5,2.7,6.27,28.7,14.8,7232,7820.66
PBT-0131,Canete,2024A,2,2,CIP-SYN-008,88.4,9.0,23.6,406.7,66.8,14.0,5.78,34.77,18.8,2977,10408.03
PBT-0072,Huancayo,2024-A,3,3,CIP-SYN-012,3253.9,496.5,12.5,149.5,62.8,,6.61,15.14,19.7,5792,3925.68
PBT-0180,La Molina,2025-A,3,3,CIP-SYN-012,243.8,86.6,23.1,416.4,61.6,23.2,5.48,29.01,15.2,2166,8023.48
PBT-0037,Huancayo,2024-A,1,1,CIP-SYN-001,3275.7,512.1,12.0,173.5,60.2,14.9,6.19,16.71,18.1,3414,4557.65
PBT-0222,Cajamarca,2025-A,3,3,CIP-SYN-002,2764.5,750.2,14.0,247.0,71.2,24.6,5.56,21.1,15.3,1708,5964.24
PBT-0009,LA MOLINA ,2024-A,3,3,CIP-SYN-003,233.1,54.8,20.6,389.6,57.6,2.2,6.81,29.86,19.5,1058,7717.79
PBT-0043,Huancayo,2024-A,1,1,CIP-SYN-003,3237.3,578.3,10.8,176.2,49.9,3.4,5.75,15.6,20.7,2423,4227.71
PBT-0249,Cajamarca,2025-A,3,3,CIP-SYN-011,2750.1,700.9,15.4,223.5,60.7,25.4,5.25,22.77,,2671,6977.69
PBT-0205,Huancayo,2025-A,1,1,CIP-SYN-009,3267.3,568.6,13.1,92.9,63.6,28.4,4.85,21.78,19.3,1947,6067.46
PBT-0021,La Molina,2024-A,3,3,CIP-SYN-007,264.5,78.4,20.6,417.9,65.4,0,6.07,33.59,19.9,7689,10559.48
PBT-0023,La Molina,2024-A,2,2,CIP-SYN-008,246.2,68.2,21.3,444.6,73.3,9.5,6.23,34.73,19.3,8377,10442.1
PBT-0110,Canete,2024-A,2,2,CIP-SYN-001,71.7,77.8,21.3,467.1,55.8,1.4,6.11,30.94,19.2,4377,9191.56
PBT-0271,Canete,2025-A,1,1,CIP-SYN-007,94.7,127.3,25.0,452.0,74.5,0,5.86,39.5,23.1,5257,10973.62
PBT-0239,Cajamarca,2025-A,2,2,CIP-SYN-008,2765.0,717.4,16.0,214.3,74.3,26.8,5.13,28.08,21.1,4626,8076.28
PBT-0150,La Molina,2025-A,3,3,CIP-SYN-002,224.8,106.5,21.2,422.7,70.2,0,5.1,33.34,20.1,5092,10093.02
PBT-0182,Huancayo,2025-A,2,2,CIP-SYN-001,3269.9,582.3,12.3,137.5,62.9,0,6.02,21.85,17.2,9256,5837.14
PBT-0265,Canete,2025-A,1,1,CIP-SYN-005,100.5,81.2,20.2,470.2,72.8,10.0,6.15,32.47,15.3,3686,8707.96
PBT-0242,Cajamarca,2025-A,2,2,CIP-SYN-009,2747.8,731.5,14.9,245.1,67.4,22.9,5.69,24.59,18.9,2334,7523.97
PBT-0209,Huancayo,2025-A,2,2,CIP-SYN-010,3260.2,574.7,13.1,151.6,70.9,31.7,5.85,22.38,20.1,1011,5793.37
PBT-0191,Huancayo,2025-A,2,2,CIP-SYN-004,3266.8,551.3,13.3,152.2,73.3,12.2,5.63,28.66,20.5,4354,8558.16
PBT-0031,La Molina,2024-A,1,1,CIP-SYN-011,243.8,109.6,19.5,369.9,58.4,5.5,5.57,31.48,19.8,6967,8071.32
PBT-0117,Canete,2024-A,3,3,CIP-SYN-003,65.4,20.0,22.6,448.2,54.7,2.5,4.78,34.1,20.3,3165,10693.73
PBT-0047,Huancayo,2024-A,2,2,CIP-SYN-004,3259.3,510.7,11.5,169.0,68.2,8.1,5.7,25.36,17.9,2090,7442.98
PBT-0263,Canete,2025-A,2,2,CIP-SYN-004,86.3,93.6,23.9,460.5,72.9,2.6,5.29,39.56,19.4,2746,11688.54
PBT-0260,Cañete,2025-A,2,2,CIP-SYN-003,88.3,65.8,23.0,420.0,59.6,0.5,5.21,33.75,17.9,7358,10488.51
PBT-0094,Cajamarca,2024-A,1,1,CIP-SYN-008,2749.8,697.3,15.2,222.9,73.6,40.4,,25.92,19.3,8282,7116.83
PBT-0099,Cajamarca,2024-A,3,3,CIP-SYN-009,2726.1,659.0,15.9,259.4,80.4,14.1,5.49,31.58,19.3,3492,9123.73
PBT-0208,Huancayo,2025-A,1,1,CIP-SYN-010,3262.9,561.5,12.8,141.8,70.7,28.9,5.86,19.12,18.1,8775,5457.56
PBT-0013,La Molina,2024-A,1,1,CIP-SYN-005,227.1,103.0,19.8,431.0,70.9,29.3,6.32,24.55,18.5,7177,6585.69
PBT-0192,Huancayo,2025-A,3,3,CIP-SYN-004,3232.3,510.3,12.7,162.7,73.1,7.1,5.91,24.28,20.1,2476,6993.15
PBT-0082,Cajamarca,2024-A,1,1,CIP-SYN-004,2768.3,672.0,14.6,236.5,75.1,31.3,6.11,26.11,17.2,7443,8053.39
PBT-0186,Huancayo,2025-A,3,3,CIP-SYN-002,3255.5,530.6,12.5,164.4,69.7,8.3,6.2,22.73,17.2,6951,6977.91
PBT-0147,La Molina,2025-A,3,3,CIP-SYN-001,229.8,163.7,21.2,421.8,63.2,0,5.47,27.5,19.2,1692,7149.97
PBT-0232,Cajamarca,2025-A,1,1,CIP-SYN-006,2748.3,751.4,15.4,207.6,64.5,45.3,6.27,25.41,20.9,4995,6732.32
PBT-0181,Huancayo,2025-A,1,1,CIP-SYN-001,3244.3,543.0,12.5,151.3,56.0,13.5,6.71,19.13,20.0,9271,5232.93
PBT-0151,La Molina,2025-A,1,1,CIP-SYN-003,231.8,105.9,20.6,436.6,54.3,3.9,5.68,30.36,18.6,6072,9555.56
PBT-0200,Huancayo,2025-A,2,2,CIP-SYN-007,3244.1,571.4,11.8,120.4,69.6,9.5,,25.79,19.8,1685,7766.87
PBT-0253,Canete,2025-A,1,1,CIP-SYN-001,77.9,85.0,24.3,464.4,60.3,3.8,5.8,34.17,18.2,3711,9488.14
PBT-0166,La Molina,2025-A,1,1,CIP-SYN-008,250.7,104.2,21.0,429.7,75.4,27.3,6.07,33.12,22.2,1050,8559.98
PBT-0135,Canete,2024-A,3,3,CIP-SYN-009,76.1,25.5,23.4,481.1,63.7,2.6,5.38,33.88,21.4,1215,9190.79
PBT-0282,Canete,2025-A,3,3,CIP-SYN-010,93.4,33.9,23.9,416.6,63.9,15.3,5.61,34.38,18.7,8148,9951.94
PBT-0201,Huancayo,2025-A,3,3,CIP-SYN-007,3264.0,500.6,12.6,135.9,72.4,16.0,5.76,29.28,19.6,1877,7850.34
PBT-0084,Cajamarca,2024-A,3,3,CIP-SYN-004,2742.6,713.4,14.4,253.4,70.2,20.4,5.52,27.88,21.1,3883,8623.05
PBT-0221,Cajamarca,2025-A,2,2,CIP-SYN-002,2745.9,774.6,15.3,211.6,65.6,15.5,5.13,23680 kg/ha,20.8,8761,6307.94
